id,field,ra,dec,f090w_flux,f090w_fluxerr,f105w_flux,f105w_fluxerr,f115w_flux,f115w_fluxerr,f115wn_flux,f115wn_fluxerr,f125w_flux,f125w_fluxerr,f140w_flux,f140w_fluxerr,f150w_flux,f150w_fluxerr,f150wn_flux,f150wn_fluxerr,f160w_flux,f160w_fluxerr,f200w_flux,f200w_fluxerr,f200wn_flux,f200wn_fluxerr,f277w_flux,f277w_fluxerr,f356w_flux,f356w_fluxerr,f410m_flux,f410m_fluxerr,f435w_flux,f435w_fluxerr,f444w_flux,f444w_fluxerr,f475w_flux,f475w_fluxerr,f606w_flux,f606w_fluxerr,f775w_flux,f775w_fluxerr,f814w_flux,f814w_fluxerr,f606wu_flux,f606wu_fluxerr,f850lp_flux,f850lp_fluxerr,f110w_flux,f110w_fluxerr,f182m_flux,f182m_fluxerr,f210m_flux,f210m_fluxerr,f150w2-f162m_flux,f150w2-f162m_fluxerr,f250m_flux,f250m_fluxerr,f300m_flux,f300m_fluxerr,f335m_flux,f335m_fluxerr,f350lpu_flux,f350lpu_fluxerr,f430m_flux,f430m_fluxerr,f460m_flux,f460m_fluxerr,f480m_flux,f480m_fluxerr,f814wu_flux,f814wu_fluxerr,f850lpu_flux,f850lpu_fluxerr,z_phot,z_phot16,z_phot84,av,av_err,lbol,lbol_err,muv,muv_err,r_eff_16_pix,r_eff_50_pix,r_eff_84_pix,r_eff_16_phys,r_eff_50_phys,r_eff_84_phys
1072,primer-uds-north,34.3722360084715,-5.210033954791225,-0.0103255438804586,0.006957381546562343,-99.0,-99.0,0.013082483734095368,0.00678718157132263,,,0.03231461849929745,0.014304764477641892,-0.005955265741219789,0.025213677224140106,0.017666577760685354,0.005609283849067954,,,0.017042756098807833,0.011665461561946538,0.023785242133120867,0.00449758893890826,,,0.03776036183639558,0.0035050020646045163,0.07239033951067118,0.0035746021115166623,0.16188908459718118,0.006805191519240433,-0.009241558679917657,0.008102546574289207,0.1588505630490475,0.005419959074480707,,,0.003427065249358063,0.004023473193795681,-99.0,-99.0,0.003968138691726225,0.003871234143411845,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90596,8.568745,9.051126,2.7,0.13479532813408035,46.376475179281314,0.12033183563685475,-18.94834143055418,0.09635817421669479,0.3288610780239105,0.43853846192359924,0.6675773859024047,59.12049502452917,78.83757820174078,120.01269885413969
1381,primer-uds-north,34.44098752394927,-5.209337115813178,0.014896559240826376,0.006398975086317982,-99.0,-99.0,0.013355242347448502,0.006170107414223875,,,0.010863941707936798,0.009356535546956197,-0.012489179394221199,0.01601718443952307,0.008403374148939761,0.005186911519599496,,,0.00032768268041949607,0.007948136826313918,0.014712928468147776,0.0043852591410744445,,,0.013038941396745272,0.0030635173996471634,0.03837230241406895,0.0029788164010396217,0.02441826545188346,0.005923198697267709,-99.0,-99.0,0.07416599728393894,0.004752967855198068,,,0.001732311972248772,0.0050339770045611685,-99.0,-99.0,0.009862889722060082,0.004988509437847329,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6625967,3.9988518,5.6900406,3.1,0.2922207960693888,45.02834459052886,0.10924635248709577,-17.520657149917344,0.29222079606938856,0.3608183646202087,0.5092281997203827,0.7927914881706237,85.03620810076418,120.01283584270938,186.84188106542913
1470,primer-uds-north,34.26054886084535,-5.209163222784578,0.05997391157910252,0.01034644305944631,-99.0,-99.0,0.018889543160307814,0.00969295699738233,,,0.03136834791287501,0.01435216868830463,0.04646096700461464,0.023660257707242623,0.03260384905396617,0.008068477064761959,,,0.03444124604357052,0.012951499961938602,0.02841122754651915,0.006813243163680401,,,0.04035279781411818,0.004679618556800344,0.0718564337695305,0.00455183330522967,0.1350713744949206,0.009175116045588155,0.011718533956299937,0.009747221977069053,0.11590594092447415,0.007429899420748071,,,0.013012272283600678,0.006693665223789649,-99.0,-99.0,0.023874717439491284,0.006258788088629317,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3967586,5.306068,5.457796,1.1,0.14709183618271005,44.399084466096475,0.21507576553860017,-18.446785800480413,0.10865468226532471,0.413871214389801,0.6063910722732544,0.9520869874954223,100.03752225065865,146.5718278440177,230.13058140939165
1544,primer-uds-north,34.37741275217305,-5.209022814691235,0.040238005526643875,0.00653433026111224,-99.0,-99.0,0.045593921687948374,0.00616691180044883,,,0.023567936113151645,0.012660546434318415,0.03439112226924193,0.015374099087339051,0.0426652188063577,0.005118846810859563,,,0.0392646260349879,0.010925313720936322,0.04563443819497196,0.004178497393282672,,,0.0531079636525563,0.0029857408112102,0.11598267020997288,0.0029536049362971417,0.17293820026038997,0.005774778683109377,-0.006968730863577919,0.00817935228619236,0.10479414266177997,0.004638284068294971,,,0.0005483777045037695,0.003934497149317069,-99.0,-99.0,0.024037976146307587,0.003665449265437777,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.463462,5.448576,5.482042,1.0,0.15228310351025381,44.45207669675999,0.39871083909699956,-18.84488729177078,0.11384594959286787,0.3585024380683899,0.5019359588623047,0.7822671604156494,86.10222664620505,120.55093383660046,187.87862282582998
1939,primer-uds-north,34.40309780563553,-5.208186294435946,0.013710331006617551,0.0062815725562440534,-99.0,-99.0,0.03269547885337581,0.00602100257020213,,,0.012409100372646205,0.012808438246303585,0.003836247898530303,0.023580556789915844,0.02692467337495506,0.005024759812291944,,,0.011817752171936483,0.010919678538637208,0.04538664524023291,0.004111401814603704,,,0.1416019287331608,0.003548943437015078,0.26135520067464446,0.0035516876163217428,0.2634880692079778,0.006810347057948754,0.013144189968088138,0.0073622581386999396,0.2954058064449807,0.005422037161481163,,,0.02425937589135944,0.005486582108463595,-99.0,-99.0,0.029338556540115395,0.005407360779800266,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3620567,4.0643554,4.535704,1.3,0.12464842195677373,44.59130957002923,0.38915579819245344,-17.77694359574886,0.09253506311920923,0.2981063520908356,0.371582493185997,0.5404582452774047,79.85278866620187,99.5346059965892,144.770809948701
3992,primer-uds-north,34.36730351221929,-5.204195880674563,0.03125127301688447,0.007163129966562634,-99.0,-99.0,0.03350829541944332,0.006857408860462643,,,0.02857547242598502,0.01392639679981521,0.0364758076358867,0.016739408770885447,0.04566996698818858,0.005603350859099694,,,0.03044510903100813,0.01232814277120594,0.05423600076382381,0.004557076290939742,,,0.11493892542146711,0.003951879933710405,0.24661828417079334,0.003715308384446127,0.2640124779753594,0.007098731701797657,-0.0005313791525372535,0.008137813957253544,0.5607223317984699,0.0059157176128114474,,,-0.0053836779189414315,0.003939382570428657,-99.0,-99.0,0.008253224643437241,0.003738409315465149,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6593285,5.641146,5.680824,1.6,0.15220430093685444,45.24770545530177,0.17794273247721956,-18.533085406094962,0.11376714701946966,0.2877167797088623,0.3375089168548584,0.4441880166530609,67.82880732565961,79.56723036871635,104.71667112503596
7991,primer-uds-north,34.293687121322456,-5.196476661896288,-0.007869007942991765,0.008727251830493341,-99.0,-99.0,0.03555240803949715,0.00860191700930328,,,0.038680176850359044,0.012811565396695701,-99.0,-99.0,0.029227947468518062,0.0069992672337593,,,0.03385759294217516,0.011530322755188692,0.047518608829166045,0.005870636601021403,,,0.15634772452086249,0.004296350950812549,0.48590387454675527,0.004292796902252878,0.5863019654147421,0.008052079758841339,0.002271910511945972,0.007589582344227864,1.2249967436828237,0.006996733192255293,,,-0.0022434212919232414,0.005354107917213513,-99.0,-99.0,0.01624738047440764,0.005608775566765432,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.655741,5.6563582,7.038401,2.4000000000000004,0.32488690056877634,45.93179992781693,0.358223712338489,-18.470757189852172,0.2864497466513942,0.40027855277061464,0.540957897901535,0.83519287109375,94.39698841879603,127.5731514212076,196.9620686254403
8559,primer-uds-north,34.465426118959,-5.195332718715463,0.015440588565262522,0.005181623473970592,0.03188363272364801,0.00998062146054155,0.04076468262596543,0.0049751858528935804,,,0.03218511005233812,0.01267470124846314,0.036277199709741234,0.022479957157717063,0.03795059712408234,0.004110836854082838,,,0.03067132000156351,0.011353072279277282,0.043979974188920946,0.0033520943373838885,,,0.047636997538967635,0.00266910847340057,0.10527995335941046,0.0023925031427238118,0.09448353366348936,0.004435063325470814,-0.033428533450146306,0.012758277962598886,0.22080062376846735,0.0035901221509951286,,,-0.010246521979618667,0.005517432713762369,-99.0,-99.0,0.00149655646809446,0.005659864325827535,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9365425,7.8029203,8.026242,3.9000000000000004,0.1473352126367311,46.69579380897957,0.2093978959866838,-19.49598986646377,0.10889805871934577,0.35412488102912903,0.4402979761362076,0.5741213297843933,68.55604627319988,85.23854166436611,111.14578658451383
10404,primer-uds-north,34.46287218271903,-5.191959925492854,0.009657307886603567,0.006734335260014702,0.017364336970530404,0.010451256982256681,0.027336316832586582,0.006304317437221942,,,0.0015855237119397339,0.014108054664192661,0.0002849891333076331,0.0208116850008067,0.03864850844018465,0.0052682327497710684,,,0.014778964800630838,0.013225967379056888,0.031097230490321592,0.004374243851909561,,,0.10786376009628648,0.0033008884629689996,0.28426964396588755,0.0032436325853549826,0.34575431558636244,0.005841691388493424,0.01408220169381241,0.014243393830191213,0.7236548666028123,0.004870903949282021,,,0.0031143524002700553,0.005489215507222972,-99.0,-99.0,0.010512517171028959,0.00603158111407235,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6559963,5.6338143,5.683741,2.2,0.15251799203942396,45.59588092944524,0.3269082420405471,-18.131496324799453,0.11408083812204062,0.30502491116523744,0.3531777560710907,0.43174452662467955,71.93175964963841,83.28728747516016,101.8151055288389
11219,primer-uds-north,34.47112649680852,-5.190443847236024,0.050267412436407054,0.008974351662711554,0.046615059674398406,0.009826161526374822,0.05733663701368068,0.008965025503480868,,,0.05853872857131856,0.013012251690958428,0.055506260160204796,0.021771681771695413,0.06914413105429716,0.007181551622913032,,,0.04939231439581327,0.011380405715497137,0.06235683436530063,0.005790201106758591,,,0.14627955681535693,0.004125016393187074,0.3326906196381736,0.004131948289146377,1.0155931647424583,0.007572359447389815,-0.015277777530640501,0.012606514517007944,0.7133544776215276,0.00602944815574394,,,0.0002581979482021625,0.005207087997978914,-99.0,-99.0,0.04245458919012141,0.00578727428224649,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4287095,5.3946824,5.4617147,2.7,0.15155605000262762,45.8993461076991,0.28000359534577324,-19.19512162645615,0.11311889608524339,0.26318607687950135,0.2882082611322403,0.34934791445732116,63.420482059838676,69.45012848458238,84.18307459184682
