rank,pair_type,score,source_1_id,source_2_id,s1_sample,s2_sample,s1_field,s2_field,same_field,s1_z,s2_z,delta_z,s1_logSigma,s2_logSigma,delta_logSigma,s1_Sigma_rank,s2_Sigma_rank,s1_color_AB,s2_color_AB,delta_color,s1_flux_ratio,s2_flux_ratio,s1_Av,s2_Av,delta_Av,sep_arcmin,sep_deg,higher_z_bluer,higher_z_lower_Sigma
1,III,367.82,20897,47021,A,A,ceers-full,ceers-full,True,4.5331,8.0231,3.49,-3.869,-5.003,1.134,53,234,-3.669,-1.44,-2.229,29.349,3.767,1.3,0.9,0.4,2.38,0.0397,True,True
2,III,359.9295,20897,67137,A,A,ceers-full,ceers-full,True,4.5331,7.4965,2.9633,-3.869,-4.25,0.381,53,108,-3.669,-0.488,-3.181,29.349,1.568,1.3,3.9,-2.6,4.4,0.0733,True,True
3,III,347.74,7991,36327,A,A,primer-uds-north,primer-uds-north,True,5.6557,7.8617,2.206,-4.123,-5.129,1.005,91,251,-4.056,-1.766,-2.29,41.912,5.086,2.4000000000000004,0.7000000000000001,1.7,3.09,0.0515,True,True
4,III,336.55899999999997,52856,68006,A,A,primer-uds-north,primer-uds-north,True,6.3209,5.1603,1.1606,-5.287,-3.797,1.49,272,47,-0.498,-3.087,2.589,1.582,17.174,0.0,1.4,-1.4,3.67,0.0611,True,True
5,III,335.80899999999997,14605,35367,A,A,gds,gds,True,6.9281,5.4895,1.4386,-4.925,-3.899,1.026,223,56,-0.742,-3.012,2.269,1.981,16.019,2.5,2.3000000000000003,0.2,3.6,0.06,True,True
6,III,334.532,43738,52856,A,A,primer-uds-north,primer-uds-north,True,5.0901,6.3209,1.2308,-4.063,-5.287,1.224,78,272,-2.685,-0.498,-2.187,11.862,1.582,1.7000000000000002,0.0,1.7,2.39,0.0399,True,True
7,III,330.8765,20897,72956,A,A,ceers-full,ceers-full,True,4.5331,8.9042,4.3711,-3.869,-4.596,0.727,53,175,-3.669,-1.699,-1.97,29.349,4.784,1.3,2.1,-0.8,4.8,0.08,True,True
8,III,329.994,7991,48927,A,A,primer-uds-north,primer-uds-north,True,5.6557,7.9073,2.2516,-4.123,-5.073,0.949,91,242,-4.056,-1.601,-2.455,41.912,4.368,2.4000000000000004,2.8000000000000003,-0.4,4.21,0.0701,True,True
9,III,325.6105,32237,52856,A,A,primer-uds-north,primer-uds-north,True,4.6122,6.3209,1.7087,-3.896,-5.287,1.391,55,272,-2.263,-0.498,-1.765,8.04,1.582,1.2000000000000002,0.0,1.2,2.77,0.0461,True,True
10,III,324.677,21488,55634,A,A,primer-uds-south,primer-uds-south,True,5.414,6.8798,1.4658,-3.634,-4.423,0.788,44,127,-2.732,-0.551,-2.181,12.377,1.661,2.1,0.1,2.0,3.73,0.0622,True,True
