id,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
1072,primer-uds-north,8.906,0.07303,11.97,12.18,-0.2,43.7,44.3,-0.6,0.0,0.286,0.4364,0.01,8.99,Neutral,7
1381,primer-uds-north,5.663,0.02662,21.54,21.62,-0.08,72.4,72.6,-0.2,0.0,0.071,0.4954,0.01,8.83,Neutral,7
1470,primer-uds-north,5.397,0.02382,14.48,14.49,-0.01,51.2,51.3,-0.0,0.0,0.007,0.2864,0.01,3.55,Neutral,7
1544,primer-uds-north,5.463,0.02451,41.18,41.18,-0.0,131.3,131.3,-0.0,0.0,0.0,0.5846,0.01,2.46,Neutral,7
1939,primer-uds-north,4.362,0.01441,211.11,213.14,-2.03,641.1,647.2,-6.1,0.0,0.255,0.3117,0.01,10.97,Null wins,7
3992,primer-uds-north,5.659,0.02659,703.17,709.81,-6.64,2117.3,2137.2,-19.9,0.0,0.193,0.2308,0.01,12.28,Null wins,7
7991,primer-uds-north,5.656,0.02655,3508.66,3542.51,-33.85,10533.8,10635.3,-101.6,0.0,0.224,0.0965,0.01,41.91,Null wins,7
8559,primer-uds-north,7.937,0.05674,142.45,144.47,-2.02,435.1,441.2,-6.1,0.0,0.18,0.3879,0.01,5.82,Null wins,7
10404,primer-uds-north,5.656,0.02655,2184.67,2205.75,-21.08,6561.8,6625.0,-63.3,0.0,0.223,0.1294,0.01,18.72,Null wins,7
11219,primer-uds-north,5.429,0.02415,1032.29,1041.62,-9.33,3104.7,3132.6,-28.0,0.0,0.202,0.2385,0.01,10.32,Null wins,7
14419,primer-uds-north,4.817,0.01825,69.64,68.15,1.48,216.7,212.2,4.5,0.0,0.314,0.0601,0.873,10.43,Neutral,7
15257,primer-uds-north,6.92,0.04191,4.76,4.63,0.13,22.1,21.7,0.4,0.0,0.209,0.5388,0.01,5.13,Neutral,7
16999,primer-uds-north,4.206,0.0132,585.09,590.26,-5.17,1763.1,1778.6,-15.5,0.0,0.351,0.2211,0.01,15.58,Null wins,7
18804,primer-uds-north,4.317,0.01406,1302.93,1314.9,-11.97,3916.6,3952.5,-35.9,0.0,0.206,0.4187,0.01,7.18,Null wins,7
18892,primer-uds-north,4.729,0.01748,34.9,35.26,-0.36,112.5,113.6,-1.1,0.0,0.315,0.2653,0.01,11.74,Neutral,7
19416,primer-uds-north,5.433,0.0242,32.11,32.32,-0.21,104.1,104.7,-0.6,0.0,0.121,0.6175,0.01,3.57,Neutral,7
21108,primer-uds-north,7.136,0.04488,173.66,176.11,-2.45,528.8,536.1,-7.3,0.0,0.223,0.2763,0.01,11.86,Null wins,7
22773,primer-uds-north,4.401,0.01472,200.86,201.52,-0.65,610.4,612.3,-2.0,0.0,0.115,0.6428,0.01,4.57,Neutral,7
23575,primer-uds-north,5.661,0.0266,345.89,349.74,-3.85,1045.4,1057.0,-11.6,0.0,0.245,0.2495,0.01,11.21,Null wins,7
24081,primer-uds-north,5.656,0.02655,469.63,474.04,-4.41,1416.7,1429.9,-13.2,0.0,0.18,0.2781,0.01,9.25,Null wins,7
24100,primer-uds-north,4.992,0.01985,83.77,85.51,-1.74,259.1,264.3,-5.2,0.0,0.218,0.4922,0.01,6.68,Neutral,7
29106,primer-uds-north,5.205,0.0219,130.42,131.04,-0.62,399.0,400.9,-1.8,0.0,0.18,0.4596,0.01,5.95,Neutral,7
29110,primer-uds-north,7.129,0.04477,49.61,50.79,-1.17,156.6,160.1,-3.5,0.0,0.291,0.2186,0.01,13.87,Neutral,7
31581,primer-uds-north,4.163,0.01288,32.23,32.19,0.04,104.5,104.3,0.1,0.0,0.209,0.1425,0.568,8.76,Neutral,7
31645,primer-uds-north,4.756,0.01771,97.84,97.25,0.6,301.3,299.5,1.8,0.0,0.313,0.0993,0.758,4.9,Neutral,7
32025,primer-uds-north,4.043,0.012,199.02,199.99,-0.97,604.8,607.7,-2.9,0.0,0.267,0.3504,0.01,6.43,Neutral,7
32237,primer-uds-north,4.612,0.01646,795.22,783.09,12.13,2393.5,2357.1,36.4,0.0,0.293,0.1088,0.573,8.04,Support,7
32986,primer-uds-north,4.153,0.0128,30.18,30.19,-0.01,98.3,98.4,-0.0,0.0,0.046,0.6926,0.01,3.19,Neutral,7
33332,primer-uds-north,4.542,0.01587,230.12,229.96,0.16,698.2,697.7,0.5,0.0,0.215,0.1842,0.601,2.97,Neutral,7
33774,primer-uds-north,7.138,0.04489,41.33,41.8,-0.47,131.8,133.2,-1.4,0.0,0.164,0.462,0.01,4.19,Neutral,7
35111,primer-uds-north,5.656,0.02655,280.27,283.17,-2.9,848.6,857.3,-8.7,0.0,0.174,0.3979,0.01,8.97,Null wins,7
36327,primer-uds-north,7.862,0.05557,2.08,2.13,-0.04,14.0,14.2,-0.1,0.0,0.16,0.5959,0.01,5.09,Neutral,7
42014,primer-uds-north,4.552,0.01595,17.78,17.75,0.03,61.1,61.0,0.1,0.0,0.237,0.2524,0.395,5.15,Neutral,7
42859,primer-uds-north,6.581,0.03745,301.87,52.29,249.58,913.4,164.7,748.7,0.0,0.307,0.2861,0.054,28.92,Support,7
43738,primer-uds-north,5.09,0.02078,423.77,432.51,-8.74,1279.1,1305.3,-26.2,0.0,0.296,0.224,0.01,11.86,Null wins,7
43932,primer-uds-north,4.235,0.01343,108.12,108.17,-0.06,332.1,332.3,-0.2,0.0,0.083,0.6922,0.056,3.18,Neutral,7
44053,primer-uds-north,5.438,0.02425,219.31,221.19,-1.88,665.7,671.4,-5.6,0.0,0.186,0.2911,0.01,11.83,Neutral,7
44681,primer-uds-north,4.581,0.0162,146.78,144.76,2.03,448.1,442.1,6.1,0.0,0.277,0.0975,0.73,8.45,Weak,7
46085,primer-uds-north,4.786,0.01797,5444.57,5445.65,-1.08,16341.5,16344.7,-3.2,0.0,0.251,0.1267,0.193,6.07,Neutral,7
48927,primer-uds-north,7.907,0.05628,9.6,9.75,-0.15,36.6,37.0,-0.4,0.0,0.24,0.3754,0.01,4.37,Neutral,7
52141,primer-uds-north,7.13,0.04479,14.28,14.58,-0.31,50.6,51.5,-0.9,0.382,0.271,0.0003,2.358,4.19,Neutral,7
52856,primer-uds-north,6.321,0.0342,37.28,37.28,-0.0,119.6,119.6,-0.0,0.213,0.0,0.3968,0.01,1.58,Neutral,7
53667,primer-uds-north,4.564,0.01606,303.78,303.85,-0.06,919.1,919.3,-0.2,0.0,0.258,0.2182,0.23,6.01,Neutral,7
54143,primer-uds-north,4.732,0.01749,3.9,3.85,0.05,19.5,19.3,0.1,0.0,0.22,0.0953,0.892,3.27,Neutral,7
54603,primer-uds-north,5.652,0.02651,54.22,54.29,-0.07,170.4,170.6,-0.2,0.0,0.014,0.4644,0.01,4.56,Neutral,7
55902,primer-uds-north,8.67,0.06887,45.87,30.88,14.99,145.4,100.4,45.0,0.0,0.308,0.3967,0.01,5.68,Support,7
56783,primer-uds-north,5.313,0.02298,61.05,61.97,-0.92,190.9,193.7,-2.8,0.0,0.286,0.1418,0.01,21.48,Neutral,7
57469,primer-uds-north,5.668,0.02668,463.87,466.19,-2.32,1399.4,1406.3,-6.9,0.0,0.086,0.5104,0.01,4.55,Null wins,7
57944,primer-uds-north,5.29,0.02274,73.14,73.88,-0.75,227.2,229.4,-2.2,0.0,0.185,0.387,0.01,7.56,Neutral,7
61010,primer-uds-north,7.134,0.04485,9.62,9.77,-0.15,36.6,37.1,-0.4,0.0,0.191,0.4667,0.01,4.25,Neutral,7
61298,primer-uds-north,5.243,0.02227,229.21,231.36,-2.15,695.4,701.9,-6.4,0.0,0.228,0.215,0.01,12.24,Null wins,7
61378,primer-uds-north,7.458,0.04948,11.18,11.14,0.04,41.3,41.2,0.1,0.0,0.252,0.204,0.466,2.52,Neutral,7
62716,primer-uds-north,5.387,0.02372,53.52,54.45,-0.92,168.3,171.1,-2.8,0.0,0.168,0.588,0.01,4.87,Neutral,7
64273,primer-uds-north,7.132,0.04481,18.05,18.46,-0.41,61.9,63.1,-1.2,0.0,0.326,0.165,0.01,10.5,Neutral,7
66007,primer-uds-north,4.596,0.01633,1.9,1.9,-0.0,13.5,13.5,-0.0,0.0,0.31,0.3469,0.01,12.4,Neutral,7
67270,primer-uds-north,5.665,0.02665,344.49,348.27,-3.78,1041.2,1052.6,-11.4,0.0,0.193,0.3454,0.01,9.93,Null wins,7
68006,primer-uds-north,5.16,0.02146,275.69,281.9,-6.22,834.8,853.5,-18.6,0.0,0.338,0.1422,0.01,17.17,Null wins,7
69921,primer-uds-north,5.655,0.02654,92.32,93.28,-0.96,284.7,287.6,-2.9,0.0,0.206,0.2423,0.01,14.53,Neutral,7
69936,primer-uds-north,7.034,0.04346,2.77,2.8,-0.03,16.1,16.2,-0.1,0.322,0.281,0.0792,0.501,3.61,Neutral,7
70423,primer-uds-north,5.478,0.02466,11.01,11.3,-0.28,40.8,41.7,-0.8,0.0,0.314,0.3212,0.01,16.2,Neutral,7
70813,primer-uds-north,4.706,0.01727,346.0,345.66,0.34,1045.8,1044.8,1.0,0.0,0.287,0.105,0.537,6.03,Neutral,7
71037,primer-uds-north,6.849,0.04096,78.87,78.05,0.82,244.4,241.9,2.5,0.0,0.287,0.3556,0.01,14.7,Neutral,7
71893,primer-uds-north,6.429,0.03554,12.78,1.2,11.58,46.1,11.4,34.7,0.0,0.247,0.3905,0.143,4.21,Support,7
4278,primer-cosmos-east,5.658,0.02657,48.21,48.3,-0.09,152.4,152.7,-0.3,0.0,0.033,0.6508,0.01,3.48,Neutral,7
6282,primer-cosmos-east,5.674,0.02674,331.93,333.47,-1.55,1003.6,1008.2,-4.6,0.0,0.058,0.5941,0.01,4.82,Neutral,7
9227,primer-cosmos-east,5.714,0.02718,1571.82,1573.05,-1.23,4723.2,4726.9,-3.7,0.0,0.062,0.5896,0.01,3.14,Neutral,7
10696,primer-cosmos-east,5.668,0.02668,119.6,120.72,-1.12,366.6,369.9,-3.4,0.0,0.179,0.4584,0.01,7.7,Neutral,7
11967,primer-cosmos-east,5.482,0.02471,17.01,17.11,-0.1,58.8,59.1,-0.3,0.0,0.083,0.3854,0.01,5.15,Neutral,7
14086,primer-cosmos-east,7.127,0.04475,24.68,25.32,-0.64,81.8,83.7,-1.9,0.0,0.257,0.3428,0.01,11.3,Neutral,7
14487,primer-cosmos-east,7.169,0.04534,4.04,4.06,-0.02,19.9,20.0,-0.1,0.259,0.121,0.1323,0.01,4.53,Neutral,7
15393,primer-cosmos-east,5.689,0.02691,11.45,11.49,-0.05,42.1,42.3,-0.1,0.0,0.059,0.5167,0.01,4.27,Neutral,7
15850,primer-cosmos-east,7.046,0.04362,874.99,887.71,-12.72,2632.7,2670.9,-38.2,0.0,0.256,0.1819,0.01,18.0,Null wins,7
16083,primer-cosmos-east,4.578,0.01617,368.14,368.13,0.01,1112.2,1112.2,0.0,0.0,0.264,0.2027,0.265,6.66,Neutral,7
16408,primer-cosmos-east,4.575,0.01615,111.72,111.71,0.01,343.0,342.9,0.0,0.0,0.29,0.1976,0.337,6.29,Neutral,7
16563,primer-cosmos-east,5.022,0.02014,1223.94,1232.54,-8.6,3679.6,3705.4,-25.8,0.0,0.319,0.1577,0.01,12.77,Null wins,7
17813,primer-cosmos-east,5.227,0.02211,47.33,47.7,-0.37,149.8,150.9,-1.1,0.0,0.183,0.3381,0.01,8.08,Neutral,7
18893,primer-cosmos-east,4.848,0.01853,159.7,158.71,1.0,486.9,483.9,3.0,0.0,0.174,0.0983,0.94,1.58,Neutral,7
19462,primer-cosmos-east,4.365,0.01443,47.86,48.07,-0.2,151.4,152.0,-0.6,0.0,0.226,0.3924,0.01,7.04,Neutral,7
19946,primer-cosmos-east,5.974,0.0301,118.29,119.41,-1.12,362.7,366.0,-3.4,0.0,0.247,0.3449,0.01,5.61,Neutral,7
20187,primer-cosmos-east,6.608,0.0378,786.72,235.01,551.71,2368.0,712.8,1655.1,0.0,0.257,0.3042,0.01,9.15,Support,7
21943,primer-cosmos-east,4.715,0.01735,156.64,156.76,-0.11,477.7,478.1,-0.3,0.0,0.244,0.2655,0.119,5.69,Neutral,7
23571,primer-cosmos-east,4.761,0.01775,30.09,29.79,0.3,98.1,97.2,0.9,0.0,0.285,0.1291,0.776,3.11,Neutral,7
26971,primer-cosmos-east,6.407,0.03526,1492.47,572.76,919.71,4485.2,1726.1,2759.1,0.0,0.254,0.1717,0.461,4.35,Support,7
27072,primer-cosmos-east,4.957,0.01953,72399.5,71987.48,412.02,217206.3,215970.2,1236.1,0.0,0.032,0.0133,1.669,0.91,Support,7
27765,primer-cosmos-east,5.173,0.02158,265.65,267.8,-2.15,804.7,811.2,-6.5,0.0,0.216,0.3041,0.01,7.74,Null wins,7
31668,primer-cosmos-east,5.608,0.02603,1997.05,2010.99,-13.94,5998.9,6040.7,-41.8,0.0,0.298,0.1856,0.01,11.88,Null wins,7
31770,primer-cosmos-east,5.779,0.0279,3809.41,3857.26,-47.85,11436.0,11579.6,-143.5,0.0,0.208,0.2955,0.01,11.06,Null wins,7
32928,primer-cosmos-east,4.458,0.01518,2445.36,1119.53,1325.82,7343.8,3366.4,3977.5,0.0,0.233,0.3471,0.068,6.71,Support,7
40209,primer-cosmos-east,5.461,0.02448,86.85,88.23,-1.38,268.3,272.5,-4.1,0.0,0.254,0.3232,0.01,7.85,Neutral,7
40642,primer-cosmos-east,4.634,0.01665,25.74,25.4,0.34,85.0,84.0,1.0,0.0,0.242,0.1221,0.864,2.79,Neutral,7
40799,primer-cosmos-east,7.681,0.0528,31.79,33.38,-1.59,103.1,107.9,-4.8,0.0,0.345,0.1896,0.01,11.34,Neutral,7
42464,primer-cosmos-east,5.367,0.02352,1254.51,1267.44,-12.94,3771.3,3810.1,-38.8,0.0,0.164,0.4338,0.01,6.14,Null wins,7
43445,primer-cosmos-east,5.697,0.02699,7.78,7.84,-0.06,31.1,31.3,-0.2,0.0,0.124,0.6435,0.01,3.83,Neutral,7
45179,primer-cosmos-east,7.105,0.04445,184.25,186.38,-2.13,560.5,566.9,-6.4,0.0,0.154,0.5043,0.01,7.0,Null wins,7
47824,primer-cosmos-east,5.655,0.02654,253.81,255.1,-1.28,769.2,773.1,-3.9,0.0,0.086,0.5384,0.01,4.98,Neutral,7
48498,primer-cosmos-east,4.453,0.01514,9.85,2.56,7.29,37.3,15.5,21.9,0.318,0.169,0.0,4.0,5.66,Weak,7
48540,primer-cosmos-east,5.656,0.02655,33.43,33.6,-0.17,108.1,108.6,-0.5,0.0,0.089,0.4212,0.01,6.73,Neutral,7
