id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
1072,primer-uds-north,8.9060,6,0.094496,0.188991,8.1599,8.1599,0.0000,12.05,12.05,0.00,1.0000,1.0000,-3.0000,-3.0000,5216.8124,759.4946,5325.8312,848.6327,Neutral
1381,primer-uds-north,5.6626,7,0.094465,0.188930,2.9451,2.9451,0.0000,10.12,10.12,0.00,1.0000,1.0000,-3.0000,-3.0000,692.5184,92.4520,562.5155,82.1912,Neutral
1470,primer-uds-north,5.3968,7,0.094457,0.188913,1.8702,1.8702,-0.0000,7.97,7.97,-0.00,0.9999,0.9999,-2.4179,-2.4179,442.4329,15.5168,450.9925,17.3124,Neutral
1544,primer-uds-north,5.4635,7,0.094459,0.188918,52.5782,52.5782,0.0000,109.38,109.38,0.00,1.0000,0.0264,-1.2720,-1.2720,4.4885,29827.1037,0.0000,0.0015,Neutral
1939,primer-uds-north,4.3621,7,0.094386,0.188771,121.7660,121.7660,0.0000,247.76,247.76,0.00,1.0000,0.9993,-1.8530,-1.8530,0.0000,0.0000,0.0000,0.0000,Neutral
3992,primer-uds-north,5.6593,7,0.094465,0.188930,76.5187,68.5611,7.9576,157.26,141.35,15.92,1.0000,1.0000,-2.8609,-2.8943,0.0000,1265.3591,0.0000,1830.8118,Weak
7991,primer-uds-north,5.6557,6,0.094465,0.188930,2049.3353,2049.3441,-0.0088,2053.23,2053.23,-0.01,1.0000,1.0000,-2.7581,-2.7581,1.7764,0.4484,0.0924,0.3495,Neutral
8559,primer-uds-north,7.9365,7,0.094493,0.188985,41.5647,41.5647,-0.0000,87.35,87.35,-0.00,0.9999,0.9999,-3.0000,-3.0000,1982.8586,5.8316,1906.5631,6.1370,Neutral
10404,primer-uds-north,5.6560,7,0.094465,0.188930,486.2623,486.2767,-0.0144,976.75,976.78,-0.03,1.0000,1.0000,-2.8553,-2.8552,64.8808,0.4330,1.6679,0.3222,Neutral
11219,primer-uds-north,5.4287,7,0.094458,0.188916,89.2911,89.2912,-0.0000,182.81,182.81,-0.00,1.0000,1.0000,-2.8234,-2.8234,0.0000,4040.6999,0.0000,2676.5094,Neutral
14419,primer-uds-north,4.8168,7,0.094427,0.188854,373.4788,373.4788,-0.0000,751.18,751.18,-0.00,1.0000,1.0000,-1.2399,-1.2399,468.8146,0.0216,79.8845,0.0295,Neutral
15257,primer-uds-north,6.9201,7,0.094486,0.188972,44.5360,44.5360,0.0000,93.30,93.30,0.00,1.0000,1.0000,-1.6915,-1.6915,538.4891,7.1243,442.6887,207.8935,Neutral
16999,primer-uds-north,4.2059,7,0.094365,0.188730,1351.9144,1351.9144,0.0000,2708.05,2708.05,0.00,1.0000,0.9987,-1.3447,-1.3447,0.0047,0.0000,0.0000,0.0000,Neutral
18804,primer-uds-north,4.3173,7,0.094380,0.188760,958.1893,958.1893,0.0000,1920.60,1920.60,0.00,1.0000,1.0000,-1.5905,-1.5905,0.0000,0.0000,0.0000,0.0000,Neutral
18892,primer-uds-north,4.7295,7,0.094421,0.188842,106.2099,106.2099,-0.0000,216.65,216.65,-0.00,1.0000,0.9995,-1.6610,-1.6610,179.3349,1.5889,0.0000,0.0000,Neutral
19416,primer-uds-north,5.4332,7,0.094458,0.188916,15.0127,15.0127,0.0000,34.25,34.25,0.00,0.9995,0.9995,-2.2483,-2.2483,202.5826,0.6374,213.0134,0.7336,Neutral
21108,primer-uds-north,7.1364,7,0.094488,0.188976,24.7961,24.7961,0.0000,53.82,53.82,0.00,0.9994,1.0000,-3.0000,-3.0000,0.0000,0.9933,0.0000,315.5022,Neutral
22773,primer-uds-north,4.4013,7,0.094390,0.188780,263.4578,263.4578,0.0000,531.14,531.14,0.00,1.0000,1.0000,-1.2475,-1.2475,176.9712,0.0842,261.2303,397.1348,Neutral
23575,primer-uds-north,5.6606,7,0.094465,0.188930,105.1675,105.1675,-0.0000,214.56,214.56,-0.00,1.0000,1.0000,-2.8444,-2.8444,0.0000,533.7347,0.0000,1494.9069,Neutral
24081,primer-uds-north,5.6564,7,0.094465,0.188930,28.0459,28.0459,-0.0000,60.32,60.32,-0.00,1.0000,1.0000,-2.9932,-2.9932,37806.2048,404.9251,16751.4960,196.3701,Neutral
