id,field,z_phot,z_dist_fossil,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,Av_null,Av_geff,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
1072,primer-uds-north,8.906,0.16998,17.91,18.54,-0.63,45.6,46.8,-1.3,0.31,0.33,0.4415,0.01,8.99,Neutral,7
1381,primer-uds-north,5.663,0.16998,2.1,0.43,1.66,13.9,10.6,3.3,3.69,3.65,0.0006,2.5,8.83,Neutral,7
1470,primer-uds-north,5.397,0.16998,2.82,2.82,0.0,15.4,15.4,0.0,2.53,2.66,0.0009,2.5,3.55,Neutral,7
1544,primer-uds-north,5.463,0.16998,55.18,55.01,0.17,120.1,119.8,0.3,1.49,1.61,0.0005,2.5,2.46,Neutral,7
1939,primer-uds-north,4.362,0.16998,112.85,62.56,50.29,235.4,134.9,100.6,1.33,0.97,0.2827,0.01,10.97,Support,7
3992,primer-uds-north,5.659,0.16998,0.52,18.27,-17.74,10.8,46.3,-35.5,4.45,5.0,0.2724,0.01,12.28,Null wins,7
7991,primer-uds-north,5.656,0.16998,7.35,82.5,-75.15,24.4,174.7,-150.3,4.22,4.9,0.1561,0.01,41.91,Null wins,7
8559,primer-uds-north,7.937,0.16998,5.15,57.29,-52.14,20.0,124.3,-104.3,3.89,0.98,0.4864,0.01,5.82,Null wins,7
10404,primer-uds-north,5.656,0.16998,4.61,58.32,-53.71,19.0,126.4,-107.4,4.47,4.95,0.1815,0.01,18.72,Null wins,7
11219,primer-uds-north,5.429,0.16998,1.02,0.98,0.03,11.8,11.7,0.1,3.69,3.82,0.0436,0.816,10.32,Neutral,7
14419,primer-uds-north,4.817,0.16998,104.46,85.21,19.25,218.6,180.1,38.5,0.0,0.0,0.057,0.888,10.43,Support,7
15257,primer-uds-north,6.92,0.16998,7.14,6.43,0.71,24.0,22.6,1.4,0.0,0.0,0.5414,0.01,5.13,Neutral,7
16999,primer-uds-north,4.206,0.16998,778.11,236.05,542.06,1566.0,481.8,1084.1,0.26,0.0,0.2934,0.152,15.58,Support,7
18804,primer-uds-north,4.317,0.16998,908.44,562.92,345.52,1826.6,1135.6,691.0,1.18,0.75,0.4194,0.01,7.18,Support,7
18892,primer-uds-north,4.729,0.16998,44.56,44.56,-0.01,98.8,98.9,-0.0,0.44,0.56,0.2456,0.071,11.74,Neutral,7
19416,primer-uds-north,5.433,0.16998,12.17,12.05,0.11,34.1,33.8,0.2,2.01,2.14,0.0672,1.066,3.57,Neutral,7
21108,primer-uds-north,7.136,0.16998,5.72,7.04,-1.32,21.2,23.8,-2.6,4.35,4.2,0.2713,0.01,11.86,Neutral,7
22773,primer-uds-north,4.401,0.16998,261.86,99.52,162.35,533.5,208.8,324.7,0.77,0.18,0.1686,0.555,4.57,Support,7
23575,primer-uds-north,5.661,0.16998,95.94,5.0,90.94,201.6,19.7,181.9,2.27,1.35,0.2517,0.01,11.21,Support,7
24081,primer-uds-north,5.656,0.16998,3.61,6.69,-3.08,16.9,23.1,-6.2,3.96,4.68,0.3054,0.01,9.25,Null wins,7
24100,primer-uds-north,4.992,0.16998,28.39,28.31,0.08,66.5,66.4,0.2,1.16,1.29,0.3784,0.01,6.68,Neutral,7
29106,primer-uds-north,5.205,0.16998,156.66,157.36,-0.7,323.1,324.5,-1.4,1.36,1.5,0.2061,0.436,5.95,Neutral,7
29110,primer-uds-north,7.129,0.16998,1.72,1.77,-0.05,13.2,13.3,-0.1,2.65,2.78,0.2271,0.01,13.87,Neutral,7
31581,primer-uds-north,4.163,0.16998,48.34,29.15,19.18,106.4,68.0,38.4,0.0,0.0,0.0591,1.046,8.76,Support,7
31645,primer-uds-north,4.756,0.16998,146.76,138.51,8.25,303.3,286.7,16.5,0.0,0.0,0.1026,0.737,4.9,Weak,7
32025,primer-uds-north,4.043,0.16998,286.76,227.55,59.21,583.2,464.8,118.4,0.19,0.0,0.4309,0.106,6.43,Support,7
32237,primer-uds-north,4.612,0.16998,1192.83,1013.94,178.9,2395.4,2037.6,357.8,0.0,0.0,0.1093,0.567,8.04,Support,7
32986,primer-uds-north,4.153,0.16998,45.18,14.49,30.69,100.1,38.7,61.4,0.27,0.0,0.0784,1.006,3.19,Support,7
33332,primer-uds-north,4.542,0.16998,345.19,341.96,3.23,700.1,693.6,6.5,0.0,0.0,0.1936,0.575,2.97,Weak,7
33774,primer-uds-north,7.138,0.16998,1.85,1.85,0.0,13.4,13.4,0.0,3.73,3.86,0.1734,0.514,4.19,Neutral,7
35111,primer-uds-north,5.656,0.16998,12.41,13.83,-1.42,34.5,37.4,-2.8,2.58,3.21,0.2705,0.01,8.97,Neutral,7
36327,primer-uds-north,7.862,0.16998,1.46,8.98,-7.52,12.6,27.7,-15.0,1.64,0.62,0.7345,0.01,5.09,Null wins,7
42014,primer-uds-north,4.552,0.16998,26.67,26.11,0.57,63.1,61.9,1.1,0.0,0.0,0.2686,0.357,5.15,Neutral,7
42859,primer-uds-north,6.581,0.16998,290.11,73.2,216.91,590.0,156.1,433.8,1.09,0.0,0.2995,0.035,28.92,Support,7
43738,primer-uds-north,5.09,0.16998,113.56,114.8,-1.24,236.8,239.3,-2.5,1.33,1.47,0.1291,0.324,11.86,Neutral,7
43932,primer-uds-north,4.235,0.16998,161.6,63.05,98.55,332.9,135.8,197.1,0.19,0.0,0.2563,0.544,3.18,Support,7
44053,primer-uds-north,5.438,0.16998,2.44,2.39,0.04,14.6,14.5,0.1,3.46,3.59,0.0007,2.264,11.83,Neutral,7
44681,primer-uds-north,4.581,0.16998,220.17,189.24,30.93,450.1,388.2,61.9,0.0,0.0,0.0935,0.744,8.45,Support,7
46085,primer-uds-north,4.786,0.16998,8166.86,8162.37,4.49,16343.4,16334.5,9.0,0.0,0.12,0.1308,0.19,6.07,Weak,7
48927,primer-uds-north,7.907,0.16998,6.73,25.83,-19.09,23.2,61.4,-38.2,1.96,0.82,0.5731,0.01,4.37,Null wins,7
