id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
1072,primer-uds-north,8.905960,7,0.154992,0.309984,15.806575,16.402103,-0.595528,82.924697,85.902335,-2.977638,Neutral,0.402263,0.328785,0.409121,0.361915
1381,primer-uds-north,5.662597,7,0.056500,0.112999,15.264549,15.561972,-0.297423,80.214567,81.701682,-1.487114,Neutral,0.306971,0.202515,0.318593,0.207263
1470,primer-uds-north,5.396759,7,0.050559,0.101117,10.476975,10.622154,-0.145179,56.276693,57.002590,-0.725896,Neutral,0.238162,0.062595,0.241032,0.064208
1544,primer-uds-north,5.463462,7,0.052019,0.104038,28.981512,29.251919,-0.270407,148.799383,150.151415,-1.352033,Neutral,0.533412,0.094884,0.536428,0.098031
1939,primer-uds-north,4.362057,7,0.030583,0.061167,140.991109,46.047733,94.943376,708.847366,234.130485,474.716881,Weak,0.035197,0.393159,0.234616,0.369818
3992,primer-uds-north,5.659328,7,0.056425,0.112849,455.964977,468.256445,-12.291467,2283.716708,2345.174045,-61.457337,Null wins,0.113741,0.261511,0.121525,0.270937
7991,primer-uds-north,5.655741,7,0.056342,0.112685,2127.340634,2180.253290,-52.912656,10640.594990,10905.158271,-264.563280,Null wins,0.000000,0.266985,0.000000,0.279438
8559,primer-uds-north,7.936542,7,0.120425,0.240849,95.819753,42.749378,53.070375,482.990584,217.638710,265.351874,Weak,0.340152,0.226213,0.486824,0.339286
10404,primer-uds-north,5.655996,7,0.056348,0.112696,1336.937281,1372.229802,-35.292522,6688.578223,6865.040831,-176.462608,Null wins,0.000000,0.282186,0.000000,0.295565
11219,primer-uds-north,5.428710,7,0.051256,0.102511,663.613397,681.590949,-17.977553,3321.958805,3411.846568,-89.887763,Null wins,0.078442,0.287572,0.088316,0.296759
14419,primer-uds-north,4.816784,7,0.038734,0.077468,44.380110,42.527420,1.852690,225.792368,216.528918,9.263450,Weak,0.327638,0.278446,0.325485,0.290376
15257,primer-uds-north,6.920136,7,0.088943,0.177885,7.116019,7.174546,-0.058527,39.471915,39.764551,-0.292636,Neutral,0.521415,0.270353,0.524480,0.289250
16999,primer-uds-north,4.205933,7,0.028019,0.056038,381.707923,391.421147,-9.713225,1912.431434,1960.997557,-48.566123,Null wins,0.105382,0.420667,0.103492,0.433723
18804,primer-uds-north,4.317291,7,0.029836,0.059671,992.501150,1022.114986,-29.613835,4966.397572,5114.466749,-148.069177,Null wins,0.205875,0.339483,0.209572,0.348190
18892,primer-uds-north,4.729469,7,0.037091,0.074183,23.656731,24.384694,-0.727963,122.175475,125.815290,-3.639815,Neutral,0.230617,0.362327,0.232227,0.375358
19416,primer-uds-north,5.433182,7,0.051353,0.102707,24.529909,25.189468,-0.659559,126.541364,129.839160,-3.297796,Neutral,0.524266,0.235062,0.529350,0.243809
21108,primer-uds-north,7.136405,7,0.095243,0.190486,118.754112,122.884252,-4.130140,597.662381,618.313079,-20.650698,Null wins,0.236959,0.260698,0.242804,0.277296
