id,field,z_phot,ha_observed_um,ha_instrument,nirspec_programs,has_spectrum,ha_flux,ha_fwhm_kms,ha_ew_angstrom,ha_snr,oiii_flux,oiii_ew,hb_flux,z_spec
1072,primer-uds-north,8.90596,6.5,MIRI (unlikely),None,False,,,,,,,,
1381,primer-uds-north,5.6625967,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
1470,primer-uds-north,5.3967586,4.2,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
1544,primer-uds-north,5.463462,4.24,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
1939,primer-uds-north,4.3620567,3.52,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
3992,primer-uds-north,5.6593285,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
7991,primer-uds-north,5.655741,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
8559,primer-uds-north,7.9365425,5.86,MIRI (unlikely),None,False,,,,,,,,
10404,primer-uds-north,5.6559963,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
11219,primer-uds-north,5.4287095,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
14419,primer-uds-north,4.8167844,3.82,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
15257,primer-uds-north,6.9201365,5.2,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
16999,primer-uds-north,4.2059326,3.42,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
18804,primer-uds-north,4.3172913,3.49,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
18892,primer-uds-north,4.729469,3.76,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
19416,primer-uds-north,5.433182,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
21108,primer-uds-north,7.1364045,5.34,MIRI (unlikely),None,False,,,,,,,,
22773,primer-uds-north,4.401274,3.54,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
23575,primer-uds-north,5.6605954,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
24081,primer-uds-north,5.6564054,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
24100,primer-uds-north,4.991886,3.93,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
29106,primer-uds-north,5.2048426,4.07,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
29110,primer-uds-north,7.1287746,5.33,MIRI (unlikely),None,False,,,,,,,,
31581,primer-uds-north,4.1634083,3.39,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
31645,primer-uds-north,4.7559195,3.78,NIRSpec (F100LP+G140H/F170LP+G235H),None,False,,,,,,,,
