id,status,flux_njy,flux_err_njy,snr,f_abmag_3sigma,z_phot,image,f_abmag,f_abmag_3sigma_limit,bunit
19354,OUTSIDE_IMAGE,,,,,5.4279175,NONE,,,
20010,NONDET,0.0,0.0,1.28,,8.934445,jw03794-o025_t025_miri_f770w_i2d.fits,38.9,37.71,MJy/sr
20632,OUTSIDE_IMAGE,,,,,5.653135,NONE,,,
23054,NONDET,0.0,0.0,1.28,,6.8682966,jw03794-o002_t002_miri_f770w_i2d.fits,38.9,37.71,MJy/sr
41179,OUTSIDE_IMAGE,,,,,7.24225,NONE,,,
41913,OUTSIDE_IMAGE,,,,,5.2459974,NONE,,,
70681,NONDET,0.0,0.0,1.29,,7.9008055,jw03794-o017_t017_miri_f770w_i2d.fits,38.9,37.71,MJy/sr
71321,OUTSIDE_IMAGE,,,,,7.12932,NONE,,,
72956,OUTSIDE_IMAGE,,,,,8.90418,NONE,,,
73890,OUTSIDE_IMAGE,,,,,5.6603184,NONE,,,
2981,NONDET,0.0,0.0,1.32,,4.812245,jw02516-o008_t008_miri_f770w_i2d.fits,38.9,37.71,MJy/sr
5434,OUTSIDE_IMAGE,,,,,4.1072683,NONE,,,
22388,OUTSIDE_IMAGE,,,,,7.18187,NONE,,,
32147,OUTSIDE_IMAGE,,,,,4.603241,NONE,,,
32402,OUTSIDE_IMAGE,,,,,4.9424376,NONE,,,
37563,OUTSIDE_IMAGE,,,,,5.7131443,NONE,,,
39509,OUTSIDE_IMAGE,,,,,4.2876787,NONE,,,
46221,OUTSIDE_IMAGE,,,,,4.0452294,NONE,,,
46281,OUTSIDE_IMAGE,,,,,4.789628,NONE,,,
65646,OUTSIDE_IMAGE,,,,,5.658066,NONE,,,
66116,OUTSIDE_IMAGE,,,,,6.846422,NONE,,,
10696,OUTSIDE_IMAGE,,,,,5.6677623,NONE,,,
15850,OUTSIDE_IMAGE,,,,,7.0456376,NONE,,,
16563,OUTSIDE_IMAGE,,,,,5.0219927,NONE,,,
17813,OUTSIDE_IMAGE,,,,,5.226693,NONE,,,
31770,OUTSIDE_IMAGE,,,,,5.77907,NONE,,,
50988,NONDET,0.0,0.0,1.86,,4.526494,jw01837-o038_t042_miri_f770w_i2d.fits,38.63,37.71,MJy/sr
51855,NONDET,0.0,0.0,1.87,,4.651201,jw01837-o038_t042_miri_f770w_i2d.fits,38.62,37.71,MJy/sr
52124,OUTSIDE_IMAGE,,,,,4.833804,NONE,,,
25633,OUTSIDE_IMAGE,,,,,7.051051,NONE,,,
26495,OUTSIDE_IMAGE,,,,,5.019624,NONE,,,
57944,NONDET,0.0,0.0,1.81,,5.28979,jw01837-o025_t029_miri_f770w_i2d.fits,38.7,37.71,MJy/sr
69921,OUTSIDE_IMAGE,,,,,5.6548767,NONE,,,
55783,OUTSIDE_IMAGE,,,,,4.6260314,NONE,,,
