id,field,ra,dec,f090w_flux,f090w_fluxerr,f105w_flux,f105w_fluxerr,f115w_flux,f115w_fluxerr,f115wn_flux,f115wn_fluxerr,f125w_flux,f125w_fluxerr,f140w_flux,f140w_fluxerr,f150w_flux,f150w_fluxerr,f150wn_flux,f150wn_fluxerr,f160w_flux,f160w_fluxerr,f200w_flux,f200w_fluxerr,f200wn_flux,f200wn_fluxerr,f277w_flux,f277w_fluxerr,f356w_flux,f356w_fluxerr,f410m_flux,f410m_fluxerr,f435w_flux,f435w_fluxerr,f444w_flux,f444w_fluxerr,f475w_flux,f475w_fluxerr,f606w_flux,f606w_fluxerr,f775w_flux,f775w_fluxerr,f814w_flux,f814w_fluxerr,f606wu_flux,f606wu_fluxerr,f850lp_flux,f850lp_fluxerr,f110w_flux,f110w_fluxerr,f182m_flux,f182m_fluxerr,f210m_flux,f210m_fluxerr,f150w2-f162m_flux,f150w2-f162m_fluxerr,f250m_flux,f250m_fluxerr,f300m_flux,f300m_fluxerr,f335m_flux,f335m_fluxerr,f350lpu_flux,f350lpu_fluxerr,f430m_flux,f430m_fluxerr,f460m_flux,f460m_fluxerr,f480m_flux,f480m_fluxerr,f814wu_flux,f814wu_fluxerr,f850lpu_flux,f850lpu_fluxerr,z_phot,z_phot16,z_phot84,av,av_err,lbol,lbol_err,muv,muv_err,r_eff_16_pix,r_eff_50_pix,r_eff_84_pix,r_eff_16_phys,r_eff_50_phys,r_eff_84_phys,verdict,delta_chi2nu,Av_null,C_AGN,Av_geff,chi2nu_geff,alpha_AGN,ir_excess,group,fxb_full_05_7keV,offaxis_factor,sep_from_center_arcmin,ha_observed_um,ha_instrument,logMstar_best,logMstar_err,method,n_bands_used
1072,primer-uds-north,34.3722360084715,-5.210033954791225,-0.0103255438804586,0.0069573815465623,-99.0,-99.0,0.0130824837340953,0.0067871815713226,,,0.0323146184992974,0.0143047644776418,-0.0059552657412197,0.0252136772241401,0.0176665777606853,0.0056092838490679,,,0.0170427560988078,0.0116654615619465,0.0237852421331208,0.0044975889389082,,,0.0377603618363955,0.0035050020646045,0.0723903395106711,0.0035746021115166,0.1618890845971811,0.0068051915192404,-0.0092415586799176,0.0081025465742892,0.1588505630490475,0.0054199590744807,,,0.003427065249358,0.0040234731937956,-99.0,-99.0,0.0039681386917262,0.0038712341434118,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90596,8.568745,9.051126,2.7,0.1347953281340803,46.376475179281314,0.1203318356368547,-18.94834143055418,0.0963581742166947,0.3288610780239105,0.4385384619235992,0.6675773859024047,59.12049502452917,78.83757820174078,120.01269885413969,Neutral,-0.63,0.31,0.4415,0.33,18.54,0.01,8.99,Neutral,2.7664941255287017e-16,1.84,3.68,6.5,MIRI (unlikely),10.48,0.3,M_UV_relation,0
1381,primer-uds-north,34.44098752394927,-5.209337115813178,0.0148965592408263,0.0063989750863179,-99.0,-99.0,0.0133552423474485,0.0061701074142238,,,0.0108639417079367,0.0093565355469561,-0.0124891793942211,0.016017184439523,0.0084033741489397,0.0051869115195994,,,0.0003276826804194,0.0079481368263139,0.0147129284681477,0.0043852591410744,,,0.0130389413967452,0.0030635173996471,0.0383723024140689,0.0029788164010396,0.0244182654518834,0.0059231986972677,-99.0,-99.0,0.0741659972839389,0.004752967855198,,,0.0017323119722487,0.0050339770045611,-99.0,-99.0,0.00986288972206,0.0049885094378473,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6625967,3.9988518,5.6900406,3.1,0.2922207960693888,45.02834459052886,0.1092463524870957,-17.520657149917344,0.2922207960693885,0.3608183646202087,0.5092281997203827,0.7927914881706237,85.03620810076418,120.01283584270938,186.8418810654291,Neutral,1.66,3.69,0.0006,3.65,0.43,2.5,8.83,Neutral,4.883914688853655e-16,3.26,6.01,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.25,0.3,M_UV_relation,0
1470,primer-uds-north,34.26054886084535,-5.209163222784578,0.0599739115791025,0.0103464430594463,-99.0,-99.0,0.0188895431603078,0.0096929569973823,,,0.031368347912875,0.0143521686883046,0.0464609670046146,0.0236602577072426,0.0326038490539661,0.0080684770647619,,,0.0344412460435705,0.0129514999619386,0.0284112275465191,0.0068132431636804,,,0.0403527978141181,0.0046796185568003,0.0718564337695305,0.0045518333052296,0.1350713744949206,0.0091751160455881,0.0117185339562999,0.009747221977069,0.1159059409244741,0.007429899420748,,,0.0130122722836006,0.0066936652237896,-99.0,-99.0,0.0238747174394912,0.0062587880886293,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3967586,5.306068,5.457796,1.1,0.14709183618271,44.399084466096475,0.2150757655386001,-18.446785800480413,0.1086546822653247,0.413871214389801,0.6063910722732544,0.9520869874954224,100.03752225065864,146.5718278440177,230.13058140939165,Neutral,0.0,2.53,0.0009,2.66,2.82,2.5,3.55,Neutral,5.992194763998511e-16,3.99,6.92,4.2,NIRSpec (F100LP+G140H/F170LP+G235H),9.6,0.3,M_UV_relation,0
1544,primer-uds-north,34.37741275217305,-5.209022814691235,0.0402380055266438,0.0065343302611122,-99.0,-99.0,0.0455939216879483,0.0061669118004488,,,0.0235679361131516,0.0126605464343184,0.0343911222692419,0.015374099087339,0.0426652188063577,0.0051188468108595,,,0.0392646260349879,0.0109253137209363,0.0456344381949719,0.0041784973932826,,,0.0531079636525563,0.0029857408112102,0.1159826702099728,0.0029536049362971,0.1729382002603899,0.0057747786831093,-0.0069687308635779,0.0081793522861923,0.1047941426617799,0.0046382840682949,,,0.0005483777045037,0.003934497149317,-99.0,-99.0,0.0240379761463075,0.0036654492654377,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.463462,5.448576,5.482042,1.0,0.1522831035102538,44.45207669675999,0.3987108390969995,-18.84488729177078,0.1138459495928678,0.3585024380683899,0.5019359588623047,0.7822671604156494,86.10222664620505,120.55093383660046,187.87862282583,Neutral,0.17,1.49,0.0005,1.61,55.01,2.5,2.46,Neutral,2.777243606956979e-16,1.85,3.69,4.24,NIRSpec (F100LP+G140H/F170LP+G235H),9.78,0.3,M_UV_relation,0
1939,primer-uds-north,34.40309780563553,-5.208186294435946,0.0137103310066175,0.006281572556244,-99.0,-99.0,0.0326954788533758,0.0060210025702021,,,0.0124091003726462,0.0128084382463035,0.0038362478985303,0.0235805567899158,0.026924673374955,0.0050247598122919,,,0.0118177521719364,0.0109196785386372,0.0453866452402329,0.0041114018146037,,,0.1416019287331608,0.003548943437015,0.2613552006746444,0.0035516876163217,0.2634880692079778,0.0068103470579487,0.0131441899680881,0.0073622581386999,0.2954058064449807,0.0054220371614811,,,0.0242593758913594,0.0054865821084635,-99.0,-99.0,0.0293385565401153,0.0054073607798002,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3620567,4.0643554,4.535704,1.3,0.1246484219567737,44.59130957002923,0.3891557981924534,-17.77694359574886,0.0925350631192092,0.2981063520908356,0.371582493185997,0.5404582452774047,79.85278866620187,99.5346059965892,144.770809948701,Support,50.29,1.33,0.2827,0.97,62.56,0.01,10.97,Support,3.264426478621586e-16,2.18,4.34,3.52,NIRSpec (F100LP+G140H/F170LP+G235H),9.11,0.3,M_UV_relation,0
3992,primer-uds-north,34.36730351221929,-5.204195880674563,0.0312512730168844,0.0071631299665626,-99.0,-99.0,0.0335082954194433,0.0068574088604626,,,0.028575472425985,0.0139263967998152,0.0364758076358867,0.0167394087708854,0.0456699669881885,0.0056033508590996,,,0.0304451090310081,0.0123281427712059,0.0542360007638238,0.0045570762909397,,,0.1149389254214671,0.0039518799337104,0.2466182841707933,0.0037153083844461,0.2640124779753594,0.0070987317017976,-0.0005313791525372,0.0081378139572535,0.5607223317984699,0.0059157176128114,,,-0.0053836779189414,0.0039393825704286,-99.0,-99.0,0.0082532246434372,0.0037384093154651,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6593285,5.641146,5.680824,1.6,0.1522043009368544,45.24770545530177,0.1779427324772195,-18.53308540609496,0.1137671470194696,0.2877167797088623,0.3375089168548584,0.4441880166530609,67.82880732565961,79.56723036871635,104.71667112503596,Null wins,-17.74,4.45,0.2724,5.0,18.27,0.01,12.28,Null wins,2.5091589018229574e-16,1.67,3.28,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.68,0.3,M_UV_relation,0
7991,primer-uds-north,34.293687121322456,-5.196476661896288,-0.0078690079429917,0.0087272518304933,-99.0,-99.0,0.0355524080394971,0.0086019170093032,,,0.038680176850359,0.0128115653966957,-99.0,-99.0,0.029227947468518,0.0069992672337593,,,0.0338575929421751,0.0115303227551886,0.047518608829166,0.0058706366010214,,,0.1563477245208624,0.0042963509508125,0.4859038745467552,0.0042927969022528,0.5863019654147421,0.0080520797588413,0.0022719105119459,0.0075895823442278,1.2249967436828235,0.0069967331922552,,,-0.0022434212919232,0.0053541079172135,-99.0,-99.0,0.0162473804744076,0.0056087755667654,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.655741,5.6563582,7.038401,2.4000000000000004,0.3248869005687763,45.93179992781693,0.358223712338489,-18.470757189852172,0.2864497466513942,0.4002785527706146,0.540957897901535,0.83519287109375,94.39698841879604,127.5731514212076,196.9620686254403,Null wins,-75.15,4.22,0.1561,4.9,82.5,0.01,41.91,Null wins,3.701082582867121e-16,2.47,4.85,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.66,0.3,M_UV_relation,0
8559,primer-uds-north,34.465426118959,-5.195332718715463,0.0154405885652625,0.0051816234739705,0.031883632723648,0.0099806214605415,0.0407646826259654,0.0049751858528935,,,0.0321851100523381,0.0126747012484631,0.0362771997097412,0.022479957157717,0.0379505971240823,0.0041108368540828,,,0.0306713200015635,0.0113530722792772,0.0439799741889209,0.0033520943373838,,,0.0476369975389676,0.0026691084734005,0.1052799533594104,0.0023925031427238,0.0944835336634893,0.0044350633254708,-0.0334285334501463,0.0127582779625988,0.2208006237684673,0.0035901221509951,,,-0.0102465219796186,0.0055174327137623,-99.0,-99.0,0.0014965564680944,0.0056598643258275,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9365425,7.8029203,8.026242,3.9,0.1473352126367311,46.69579380897957,0.2093978959866838,-19.49598986646377,0.1088980587193457,0.354124881029129,0.4402979761362076,0.5741213297843933,68.55604627319988,85.23854166436611,111.14578658451384,Null wins,-52.14,3.89,0.4864,0.98,57.29,0.01,5.82,Null wins,5.914289809150964e-16,3.94,6.86,5.86,MIRI (unlikely),10.53,0.3,M_UV_relation,0
10404,primer-uds-north,34.46287218271903,-5.191959925492854,0.0096573078866035,0.0067343352600147,0.0173643369705304,0.0104512569822566,0.0273363168325865,0.0063043174372219,,,0.0015855237119397,0.0141080546641926,0.0002849891333076,0.0208116850008067,0.0386485084401846,0.005268232749771,,,0.0147789648006308,0.0132259673790568,0.0310972304903215,0.0043742438519095,,,0.1078637600962864,0.0033008884629689,0.2842696439658875,0.0032436325853549,0.3457543155863624,0.0058416913884934,0.0140822016938124,0.0142433938301912,0.7236548666028123,0.004870903949282,,,0.00311435240027,0.0054892155072229,-99.0,-99.0,0.0105125171710289,0.0060315811140723,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6559963,5.6338143,5.683741,2.2,0.1525179920394239,45.59588092944524,0.3269082420405471,-18.131496324799453,0.1140808381220406,0.3050249111652374,0.3531777560710907,0.4317445266246795,71.93175964963841,83.28728747516016,101.8151055288389,Null wins,-53.71,4.47,0.1815,4.95,58.32,0.01,18.72,Null wins,5.636857908197215e-16,3.76,6.64,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),9.51,0.3,M_UV_relation,0
11219,primer-uds-north,34.47112649680852,-5.190443847236024,0.050267412436407,0.0089743516627115,0.0466150596743984,0.0098261615263748,0.0573366370136806,0.0089650255034808,,,0.0585387285713185,0.0130122516909584,0.0555062601602047,0.0217716817716954,0.0691441310542971,0.007181551622913,,,0.0493923143958132,0.0113804057154971,0.0623568343653006,0.0057902011067585,,,0.1462795568153569,0.004125016393187,0.3326906196381736,0.0041319482891463,1.0155931647424583,0.0075723594473898,-0.0152777775306405,0.0126065145170079,0.7133544776215276,0.0060294481557439,,,0.0002581979482021,0.0052070879979789,-99.0,-99.0,0.0424545891901214,0.0057872742822464,-99.0,-99.0,-99.0,-99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4287095,5.3946824,5.4617147,2.7,0.1515560500026276,45.8993461076991,0.2800035953457732,-19.19512162645615,0.1131188960852433,0.2631860768795013,0.2882082611322403,0.3493479144573211,63.42048205983867,69.45012848458238,84.18307459184682,Neutral,0.03,3.69,0.0436,3.82,0.98,0.816,10.32,Neutral,6.186025187913603e-16,4.12,7.07,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),9.93,0.3,M_UV_relation,0
