id,field,z_phot,muv,lbol,av_catalog,re_phys_pc,logMstar_uv_method,logMstar_lbol_method,logMstar_color_corrected,logMstar_best,logMstar_err,method,n_bands_used
1072,primer-uds-north,8.90596,-18.94834143055418,46.376475179281314,2.7,78.83757820174078,10.48,-32.22,10.48,10.48,0.3,M_UV_relation,0
1381,primer-uds-north,5.6625967,-17.520657149917344,45.02834459052886,3.1,120.01283584270938,9.25,-32.23,9.25,9.25,0.3,M_UV_relation,0
1470,primer-uds-north,5.3967586,-18.446785800480413,44.399084466096475,1.1,146.5718278440177,9.6,-32.24,9.6,9.6,0.3,M_UV_relation,0
1544,primer-uds-north,5.463462,-18.84488729177078,44.45207669675999,1.0,120.55093383660046,9.78,-32.24,9.78,9.78,0.3,M_UV_relation,0
1939,primer-uds-north,4.3620567,-17.77694359574886,44.59130957002923,1.3,99.5346059965892,9.11,-32.23,9.11,9.11,0.3,M_UV_relation,0
3992,primer-uds-north,5.6593285,-18.53308540609496,45.24770545530177,1.6,79.56723036871635,9.68,-32.23,9.68,9.68,0.3,M_UV_relation,0
7991,primer-uds-north,5.655741,-18.470757189852172,45.93179992781693,2.4000000000000004,127.5731514212076,9.66,-32.22,9.66,9.66,0.3,M_UV_relation,0
8559,primer-uds-north,7.9365425,-19.49598986646377,46.69579380897957,3.9,85.23854166436611,10.53,-32.21,10.53,10.53,0.3,M_UV_relation,0
10404,primer-uds-north,5.6559963,-18.131496324799453,45.59588092944524,2.2,83.28728747516016,9.51,-32.23,9.51,9.51,0.3,M_UV_relation,0
11219,primer-uds-north,5.4287095,-19.19512162645615,45.8993461076991,2.7,69.45012848458238,9.93,-32.22,9.93,9.93,0.3,M_UV_relation,0
14419,primer-uds-north,4.8167844,-17.843655823805097,44.527445141435194,0.9,101.3688073269726,9.23,-32.24,9.23,9.23,0.3,M_UV_relation,0
15257,primer-uds-north,6.9201365,-18.846641969673545,45.176160720308175,1.3,96.35690251750648,10.06,-32.23,10.06,10.06,0.3,M_UV_relation,0
16999,primer-uds-north,4.2059326,-18.413364601496873,45.218479343601494,1.1,123.57814740257558,9.36,-32.23,9.36,9.36,0.3,M_UV_relation,0
18804,primer-uds-north,4.3172913,-19.21290064350012,45.080679388561705,1.5,104.11764122760248,9.72,-32.23,9.72,9.72,0.3,M_UV_relation,0
18892,primer-uds-north,4.729469,-17.341007529473167,44.431549491761906,1.0,90.50174813927704,9.0,-32.24,9.0,9.0,0.3,M_UV_relation,0
19416,primer-uds-north,5.433182,-18.32210220195416,44.78734231080007,1.9,167.72615035565858,9.55,-32.23,9.55,9.55,0.3,M_UV_relation,0
21108,primer-uds-north,7.1364045,-18.093206991564905,45.80187686424168,2.6,81.31058340571161,9.78,-32.22,9.78,9.78,0.3,M_UV_relation,0
22773,primer-uds-north,4.401274,-18.878715129649372,44.71586032302294,1.3,101.92125161603352,9.59,-32.23,9.59,9.59,0.3,M_UV_relation,0
23575,primer-uds-north,5.6605954,-18.19893992381785,45.11678358123938,2.0,95.52958794710352,9.54,-32.23,9.54,9.54,0.3,M_UV_relation,0
24081,primer-uds-north,5.6564054,-18.423810857378182,45.12505477427064,1.8,77.0447797884074,9.64,-32.23,9.64,9.64,0.3,M_UV_relation,0
24100,primer-uds-north,4.991886,-19.112623988561445,45.01194926187989,1.3,86.23758336823218,9.81,-32.23,9.81,9.81,0.3,M_UV_relation,0
29106,primer-uds-north,5.2048426,-18.95426883204738,44.92430182089689,1.1,114.10112156484168,9.78,-32.23,9.78,9.78,0.3,M_UV_relation,0
29110,primer-uds-north,7.1287746,-17.756852640149642,45.52570184121864,2.4000000000000004,100.54216119836272,9.63,-32.23,9.63,9.63,0.3,M_UV_relation,0
31581,primer-uds-north,4.1634083,-17.628899792659244,43.284262627548024,0.0,84.0964646424577,9.01,-32.25,9.01,9.01,0.3,M_UV_relation,0
31645,primer-uds-north,4.7559195,-18.512115975297128,44.477834858454386,0.8,113.68773652076456,9.5,-32.24,9.5,9.5,0.3,M_UV_relation,0
32025,primer-uds-north,4.0433307,-16.99379146804004,44.25912070760635,0.6000000000000001,84.81280966663823,8.72,-32.24,8.72,8.72,0.3,M_UV_relation,0
