id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
1072,primer-uds-north,34.3722360084715,-5.210033954791225,3.68,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.7664941255287017e-16,9.221647085095672e-17,5.532988251057403e-16,1.84,False
1381,primer-uds-north,34.44098752394927,-5.209337115813178,6.01,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.883914688853655e-16,1.6279715629512185e-16,9.76782937770731e-16,3.26,False
1470,primer-uds-north,34.26054886084535,-5.209163222784578,6.92,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.992194763998511e-16,1.9973982546661707e-16,1.1984389527997023e-15,3.99,False
1544,primer-uds-north,34.37741275217305,-5.209022814691235,3.69,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.777243606956979e-16,9.257478689856597e-17,5.554487213913958e-16,1.85,False
1939,primer-uds-north,34.40309780563553,-5.208186294435946,4.34,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.264426478621586e-16,1.0881421595405287e-16,6.528852957243172e-16,2.18,False
3992,primer-uds-north,34.36730351221929,-5.204195880674563,3.28,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.5091589018229574e-16,8.363863006076525e-17,5.018317803645915e-16,1.67,False
7991,primer-uds-north,34.293687121322456,-5.196476661896288,4.85,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.701082582867121e-16,1.2336941942890403e-16,7.402165165734242e-16,2.47,False
8559,primer-uds-north,34.465426118959,-5.195332718715463,6.86,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.914289809150964e-16,1.9714299363836547e-16,1.1828579618301928e-15,3.94,False
10404,primer-uds-north,34.46287218271903,-5.191959925492854,6.64,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.636857908197215e-16,1.8789526360657384e-16,1.127371581639443e-15,3.76,False
11219,primer-uds-north,34.47112649680852,-5.190443847236024,7.07,XMM-Newton UDS / UDSz X-ray (Kocevski+18),6.186025187913603e-16,2.062008395971201e-16,1.2372050375827207e-15,4.12,False
14419,primer-uds-north,34.39917769351939,-5.184322969859979,3.12,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.4114215122009243e-16,8.038071707336413e-17,4.822843024401849e-16,1.61,False
15257,primer-uds-north,34.431864205539185,-5.182779988252042,4.72,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.5915261032217834e-16,1.1971753677405945e-16,7.183052206443567e-16,2.39,False
16999,primer-uds-north,34.508057817800164,-5.1800837790157175,9.03,XMM-Newton UDS / UDSz X-ray (Kocevski+18),9.14386574206944e-16,3.04795524735648e-16,1.828773148413888e-15,6.1,False
18804,primer-uds-north,34.363515044768505,-5.176963791951121,1.63,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.7495142700349304e-16,5.831714233449769e-17,3.499028540069861e-16,1.17,False
18892,primer-uds-north,34.268908020655076,-5.176721823124139,5.67,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.518802159778199e-16,1.5062673865927332e-16,9.037604319556399e-16,3.01,False
19416,primer-uds-north,34.46076321349001,-5.175813201579843,6.22,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.123848031455016e-16,1.7079493438183386e-16,1.0247696062910032e-15,3.42,False
21108,primer-uds-north,34.36296344400555,-5.17319980462139,1.4,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.6845928762858103e-16,5.615309587619368e-17,3.3691857525716207e-16,1.12,False
22773,primer-uds-north,34.43898594228325,-5.170543086397919,4.88,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.7309858283770134e-16,1.243661942792338e-16,7.461971656754027e-16,2.49,False
23575,primer-uds-north,34.408019900593665,-5.16914658540713,3.09,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.3956756497101716e-16,7.985585499033904e-17,4.791351299420343e-16,1.6,False
24081,primer-uds-north,34.34620665884841,-5.168197042479149,1.37,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.6754494494133856e-16,5.584831498044619e-17,3.350898898826771e-16,1.12,False
