id,field,z_phot,Tanh_baseline_dC2,Tanh_baseline_verdict,Gaussian_single_dC2,Gaussian_single_verdict,Gaussian_double_dC2,Gaussian_double_verdict,Wide_tanh_dC2,Wide_tanh_verdict,Tanh_p_highmz_decay_dC2,Tanh_p_highmz_decay_verdict
1072,primer-uds-north,8.90596,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
1381,primer-uds-north,5.6625967,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
1470,primer-uds-north,5.3967586,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
1544,primer-uds-north,5.463462,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
1939,primer-uds-north,4.3620567,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
3992,primer-uds-north,5.6593285,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
7991,primer-uds-north,5.655741,0.0007,Neutral,0.0007,Neutral,0.0004,Neutral,0.0007,Neutral,0.0007,Neutral
8559,primer-uds-north,7.9365425,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0,Neutral
10404,primer-uds-north,5.6559963,0.0004,Neutral,0.0004,Neutral,0.0002,Neutral,0.0004,Neutral,0.0004,Neutral
11219,primer-uds-north,5.4287095,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
14419,primer-uds-north,4.8167844,0.0003,Neutral,0.0003,Neutral,0.0002,Neutral,0.0003,Neutral,0.0003,Neutral
15257,primer-uds-north,6.9201365,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
16999,primer-uds-north,4.2059326,0.0031,Neutral,0.0029,Neutral,0.0019,Neutral,0.0031,Neutral,0.0031,Neutral
18804,primer-uds-north,4.3172913,0.0025,Neutral,0.0023,Neutral,0.0015,Neutral,0.0024,Neutral,0.0025,Neutral
18892,primer-uds-north,4.729469,0.0002,Neutral,0.0002,Neutral,0.0001,Neutral,0.0002,Neutral,0.0002,Neutral
19416,primer-uds-north,5.433182,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
21108,primer-uds-north,7.1364045,0.0001,Neutral,0.0,Neutral,0.0,Neutral,0.0001,Neutral,0.0001,Neutral
