SDSS_NAME,RA,DEC,Z,LORD_TYPE,AUTOCLASS,PSFMAG_U,PSFMAG_G,PSFMAG_R,PSFMAG_I,PSFMAG_Z
000123.05+034407.0,0.3460523178068229,3.735305117753239,0.442,red2,UNK,21.967146,21.19272,20.460098,19.806948,19.43825
000130.73+341446.0,0.3780801408474872,34.24611824820824,0.6818168759346008,red1,QSO,21.797695,21.93238,21.374619,20.597906,20.19082
000133.92+332423.6,0.3913426490122447,33.40655814988447,0.8111185431480408,red1,QSO,21.523897,21.589294,21.59093,21.098837,20.568329
000159.77+065926.4,0.49906085453818605,6.990673839956087,0.2997349500656128,red2,QSO,21.701124,21.473082,21.041286,20.607609,20.007301
000244.22+252650.0,0.6842723092720462,25.44723679727549,0.37917476892471313,red2,QSO,22.314821,21.556257,20.101559,19.510271,19.048597
000553.36+102746.2,1.4723538596743424,10.462840157278347,0.7044726610183716,red1,QSO,24.493568,23.760948,22.66774,21.323446,20.835304
000634.03+005632.3,1.6418102754023494,0.942323879257726,0.7,red1,UNK,23.093796,23.857655,21.798319,20.676966,19.945866
000733.50+225356.0,1.8896017378580723,22.898913577678023,0.818,red1,QSO,21.702625,21.108719,20.913889,20.46186,19.898287
000750.50+005815.2,1.9604565423172744,0.9708995255733114,0.345,red2,UNK,21.151829,21.291883,20.554945,20.36084,19.326956
000946.62-000100.0,2.4442780275634277,-0.016678126591758522,0.4175064265727997,red2,QSO,22.666794,22.476889,21.787186,21.280947,20.748066
001048.73+010415.3,2.703073624330102,1.0709425888214834,0.7567330002784729,red1,QSO,22.129393,21.871977,22.135473,21.260218,20.970243
001144.86+213835.0,2.9369487358939637,21.643074571157197,0.7788951396942139,red1,QSO,22.19268,21.860886,21.353645,20.715185,20.21349
001242.28-010229.5,3.176169166674754,-1.0415387729492915,0.822,red1,QSO,21.796093,22.161829,22.16357,21.788748,20.834085
001300.40+003637.8,3.2516916029636604,0.6105148162513113,0.8481655716896057,red1,QSO,22.636099,22.115164,21.42451,20.807964,20.207659
001359.50+234045.8,3.4979272869626925,23.67938983805042,0.8245604038238525,red1,QSO,21.446627,21.492733,21.157324,20.541918,20.10842
001400.72-001250.9,3.5030003562383314,-0.21416002750927202,0.742,red1,QSO,21.676264,21.143278,20.640362,20.062307,19.559904
001512.00+230930.2,3.800001270112716,23.15839436595249,0.7783253192901611,red1,QSO,22.323393,22.029102,21.35215,20.775274,20.312296
001813.48+284641.3,4.5562037136907065,28.77815062624937,0.7371852993965149,red1,QSO,21.94139,21.581104,21.239727,20.79133,20.148783
001859.26-004010.4,4.746921440281659,-0.6695592456861214,0.811887800693512,red1,QSO,22.86344,22.45418,22.37235,21.82648,21.345716
001940.53+032138.6,4.918896951723696,3.3607346555446225,0.8266714811325073,red1,QSO,22.427145,21.69786,21.582184,21.207968,20.524542
002114.58+020550.1,5.310783355302192,2.097258691730709,0.8792633414268494,red1,QSO,22.65851,21.926487,21.558111,21.013681,20.512495
002133.85+234943.5,5.391079905765821,23.828751396843792,0.7062323093414307,red1,QSO,22.635988,21.902826,21.64979,21.112694,20.52792
002216.51+274542.6,5.568804079655706,27.761834817555997,0.3581892251968384,red2,QSO,22.56427,22.127995,20.537266,19.867842,19.226704
002227.59+005518.8,5.614999217289267,0.9219042297985895,0.7226318717002869,red1,QSO,22.369778,22.065056,21.80749,21.257793,20.301256
002255.06+002055.1,5.729432544368819,0.348645001541561,0.799,red1,UNK,22.643993,21.966925,20.468573,19.827467,19.151665
002326.82+315912.3,5.861766242913234,31.986757848764785,0.41090887784957886,red2,QSO,21.741762,21.304111,22.036562,21.395466,19.994291
002334.92+303031.1,5.8955090355214,30.508640542991696,0.4136323034763336,red2,QSO,22.28476,21.655687,20.940454,20.411213,19.934168
002447.96-004456.4,6.199865548040447,-0.7490152291453128,0.706,red1,UNK,22.38775,22.081661,21.88166,21.381783,20.630693
002455.29+081518.5,6.23040827211247,8.255164996965531,0.399,red2,UNK,22.139425,21.35817,20.583342,19.761597,19.452011
002513.60+043748.3,6.306692138660139,4.630100462307072,0.748,red1,UNK,22.221878,21.75446,21.64465,21.00913,20.393845
002547.52+264148.0,6.448004459588105,26.696685243233212,0.825118899345398,red1,QSO,21.710724,21.509144,21.40317,20.796444,20.044184
002634.31+241216.5,6.64297091422759,24.20460355349186,0.777,red1,QSO,22.294601,21.786802,21.979074,21.661411,20.502922
002718.77+030950.6,6.828243796459105,3.1640608998872053,0.47,red2,UNK,21.48032,21.411781,21.201366,20.495747,20.053513
002720.14+242106.4,6.833946894190603,24.35178269354297,0.734,red1,QSO,22.037004,21.29594,20.898483,20.399292,19.85859
002956.46+350513.9,7.485258398580584,35.08720408152003,0.4427783787250519,red2,QSO,22.188047,21.977472,21.323648,20.540268,19.883715
003113.88-010150.0,7.807862896571123,-1.0305815722734886,0.7494605183601379,red1,QSO,22.400822,21.675364,21.423008,20.925814,20.389791
003257.83+033921.2,8.240977838765627,3.6558984142221123,0.862,red1,QSO,21.477201,21.17357,20.819677,20.105974,19.80029
003512.50+092326.2,8.80209789323294,9.390613239107635,0.7318894267082214,red1,QSO,21.65924,21.676752,21.73474,21.405031,20.664282
