id,field,z,m_f444w,color,logSigma,reff_kpc
1072,primer-uds-north,8.90596,25.89752810367123,-2.38459082301382,-8.15247779105533,0.07883757820174078
1381,primer-uds-north,5.6625967,26.724487897738356,-2.364377851382109,-8.848250555149583,0.12001283584270937
1470,primer-uds-north,5.3967586,26.23973575770551,-1.3770920577517671,-8.827995310709618,0.14657182784401768
1544,primer-uds-north,5.463462,26.349157477559114,-0.9756575793632543,-8.702004148920302,0.12055093383660047
1939,primer-uds-north,4.3620567,25.223952431309062,-2.6006714598257865,-8.08552917583209,0.09953460599658921
3992,primer-uds-north,5.6593285,24.528130367450785,-2.7227928883386276,-7.61272062918221,0.07956723036871635
7991,primer-uds-north,5.655741,23.679662664376092,-4.055841540336303,-7.68338363369767,0.1275731514212076
8559,primer-uds-north,7.9365425,25.539999260115014,-1.9119542059298347,-8.07727172567664,0.0852385416643661
10404,primer-uds-north,5.6559963,24.251171282254766,-3.180996873060014,-7.54162594907169,0.08328728747516015
11219,primer-uds-north,5.4287095,24.266736521025738,-2.533875171111241,-7.390040715471704,0.06945012848458237
14419,primer-uds-north,4.8167844,25.384463184909336,-2.5456073977070695,-8.1655939474725,0.10136880732697261
15257,primer-uds-north,6.9201365,25.80884836071527,-1.7743620187555038,-8.29130500578521,0.09635690251750649
16999,primer-uds-north,4.2059326,23.52654007767843,-2.981587067243634,-7.594499391645948,0.12357814740257558
18804,primer-uds-north,4.3172913,24.3837604278296,-2.1408860001212133,-7.788552812452643,0.10411764122760248
18892,primer-uds-north,4.729469,25.59699426912251,-2.6738402658157696,-8.152111643957957,0.09050174813927704
19416,primer-uds-north,5.433182,26.288454584302936,-1.3801871791072813,-8.964583392085155,0.16772615035565858
21108,primer-uds-north,7.1364045,25.818652018763313,-2.685469634311872,-8.147754961806834,0.08131058340571161
22773,primer-uds-north,4.401274,25.191316852482064,-1.6504132823935542,-8.093056237509899,0.10192125161603352
23575,primer-uds-north,5.6605954,25.29427276841314,-2.6242004647128034,-8.077984916333472,0.09552958794710352
24081,primer-uds-north,5.6564054,25.09646917125418,-2.4158666148040524,-7.812074104879416,0.0770447797884074
24100,primer-uds-north,4.991886,24.872313123851022,-2.0620465304639666,-7.820318405138842,0.08623758336823217
29106,primer-uds-north,5.2048426,24.93299837428327,-1.9359130732681926,-8.087779176446809,0.11410112156484167
29110,primer-uds-north,7.1287746,26.000209144640607,-2.8555191417965062,-8.404780090546172,0.10054216119836272
31581,primer-uds-north,4.1634083,26.925330310877687,-2.355905710218206,-8.619687601831679,0.08409646464245771
