srcid,field,z,FWHM,m_f444w,logSigma,reff_kpc
40579,UDS,3.11,2466.463111372908,21.95022026119415,-6.776666654445339,0.0996068658117532
144195,UDS,3.36,2053.385709714856,24.52127954464372,-7.7766064964223585,0.0963934089341111
154183,UDS,3.55,2481.4495811960874,23.232084742825,-7.41336322220897,0.1148853528762713
23438,UDS,3.69,2058.2376125236824,24.710303342981405,-8.035795384083041,0.1190795057621725
167741,UDS,4.12,2399.391717341121,24.68910916984313,-8.277562578676537,0.1588398452828279
31747,UDS,4.13,2277.089191435131,24.798081433461213,-7.946692415811459,0.1032119352391251
119957,UDS,4.15,1977.5672981437697,25.402419359318024,-8.098080159890694,0.0930156891488232
28812,EGS,4.22,2193.9577006707937,24.465167415231868,-8.02652375919688,0.1318950195395047
29489,EGS,4.54,2370.4582094571506,25.8373118573652,-8.21817570791379,0.0874229550828114
182791,UDS,4.72,2495.804840361383,24.858927262202975,-7.83791683332945,0.0885468190466771
42232,EGS,4.95,2449.132749806051,22.739052592393037,-7.035625318498335,0.0933258901104706
61496,EGS,5.08,1509.3740041613053,25.82224064892677,-8.183493479536033,0.0845860237525733
952625,EGS,5.11,1366.627847550535,26.39576561537161,-8.455731960074266,0.0888613397932531
830237,UDS,5.12,1237.717060551278,26.529742286390785,-8.510759945606775,0.0890085068244101
149298,UDS,5.15,2120.4123908945808,24.225898876428005,-7.824572010241057,0.1167095057375538
53692,UDS,5.28,1725.495706361564,26.25640101577016,-8.426481245058545,0.0916136991647021
42046,EGS,5.28,2499.0131694535103,23.16181950323704,-7.156422328019982,0.0882769385444776
970351,UDS,5.28,2396.2042368052016,25.63520557542034,-8.147535462652709,0.0884558614297268
926125,EGS,5.28,1949.1401757013564,25.2561694817626,-7.97432406723581,0.0862835762467297
29813,UDS,5.44,2245.0777048850514,25.801692602757164,-8.308905557814779,0.0986538999630143
172350,UDS,5.58,1922.498571830623,24.567536794031692,-7.684582133802204,0.0848757662541034
37124,EGS,5.68,2452.961205446533,25.133294178082984,-7.869595037347665,0.0809354308656571
50716,UDS,6.17,2250.260701721221,25.802720636747026,-8.118143829918122,0.0791640104778488
57040,UDS,6.42,2290.177519620974,24.06856998202139,-8.440871577233835,0.2551066573256927
36171,UDS,6.47,2176.6385710959967,26.086782980150247,-8.241107639515999,0.0800197561757939
967770,UDS,6.59,2329.9684864283345,26.03784252983056,-8.072270319707918,0.0673855308319456
53254,EGS,6.62,2067.196101983803,25.727322898166143,-8.28906347115208,0.0997854352379705
33938,UDS,6.63,1142.560839510142,26.711841829100702,-8.97958082941903,0.1404177626428178
49140,EGS,6.68,2498.9559790751023,23.915153297203663,-7.386280240805338,0.0813035410371569
948917,EGS,6.73,2216.677546868154,25.501172228519685,-8.040242384308478,0.0831546895406554
807469,UDS,6.78,1741.6917027434322,25.032247526549757,-8.185564888416232,0.1219924459202048
927271,EGS,6.78,1649.267715965869,26.192604331097243,-8.219989472044244,0.0743830307520954
55604,EGS,6.98,2499.047784608442,23.82373718043865,-7.311721129667683,0.0778239247062875
848745,UDS,7.11,1734.5985755513454,26.1056692695589,-8.126219109468913,0.0694985431424256
42803,EGS,7.15,2392.748481140811,26.0396353493375,-8.216707837026638,0.0795109328250706
966323,EGS,8.35,2199.239870858664,25.676260543752893,-7.913093446663419,0.0662665887325059
