id,field,z_phot,M_msun,R_pc,Sigma,logSigma,f444w_flux,f150w_flux,color_mag,color_excess,z_N,emit_enhance,sersic_enhance,z_sersic,geom_factor,geff_factor,z_final,dmag_N,dmag_emit,dmag_sersic,dmag_geo,dmag_final
1072,primer-uds-north,8.90596,30199517204.02019,78.83757820174078,1546619.8425736583,6.189383577719029,0.1588505630490475,0.0176665777606853,-2.384590823013821,-0.3579418805249506,1.8336450943607622e-05,1.455,3.671056845830528,6.731415376476641e-05,1.3,31.08032155577852,0.002719789207543277,3.981709731249232e-05,5.793387658967633e-05,0.00014617082767012524,0.00019002207597116282,0.005905947223880316
1381,primer-uds-north,5.6625967,1778279410.0389228,120.01283584270938,39300.19735145945,4.594394731251626,0.0741659972839389,0.0084033741489397,-2.364377851382106,-0.3377289088932356,7.092851342745018e-07,1.455,3.671056845830528,2.603826047824235e-06,1.3,1.1218426131777217,3.7974079230767673e-06,1.5401930995571155e-06,2.2409809598556035e-06,5.654136422030089e-06,7.350377348639116e-06,8.245966532639639e-06
1470,primer-uds-north,5.3967586,3981071705.5349693,146.5718278440177,58986.023523096024,4.770749119678452,0.1159059409244741,0.0326038490539661,-1.3770920577517696,0.6495568847371007,1.3001637458914191e-06,1.455,3.671056845830528,4.772975020055357e-06,1.3,1.2240426946452876,7.595022766530167e-06,2.8232697020565248e-06,4.107857416492244e-06,1.036438356736052e-05,1.3473698637568676e-05,1.6492382387168103e-05
1544,primer-uds-north,5.463462,6025595860.743568,120.55093383660046,131980.256908102,5.120508969409211,0.1047941426617799,0.0426652188063577,-0.9756575793632544,1.050991363125616,2.392643403562504e-06,1.455,3.671056845830528,8.783529946279385e-06,1.3,1.7498433806811953,1.9980742256165648e-05,5.195559136647053e-06,7.559538543821463e-06,1.9073192936505512e-05,2.4795150817457168e-05,4.338763053091935e-05
1939,primer-uds-north,4.3620567,1288249551.6931322,99.5346059965892,41390.61925156326,4.616901923997402,0.2954058064449807,0.026924673374955,-2.6006714598257874,-0.5740225173369171,6.195472791669282e-07,1.455,3.671056845830528,2.274393280501429e-06,1.3,1.1316921821219947,3.3460870229985436e-06,1.3453298231018518e-06,1.9574548926131944e-06,4.938782256998026e-06,6.420416934097434e-06,7.265935650281732e-06
3992,primer-uds-north,5.6593285,4786300923.22638,79.56723036871635,240647.66113327516,5.381381645103971,0.5607223317984699,0.0456699669881885,-2.72279288833863,-0.6961439458497596,2.879481645663742e-06,1.455,3.671056845830528,1.0570740807757235e-05,1.3,2.846203523928571,3.911242365884645e-05,6.2527149472672884e-06,9.097700248273904e-06,2.2954072012192447e-05,2.9840293615850182e-05,8.493154884449602e-05
7991,primer-uds-north,5.655741,4570881896.148752,127.5731514212076,89398.77325165285,4.951331559358633,1.2249967436828235,0.029227947468518,-4.055841540336304,-2.0291925978474334,1.7150993080934334e-06,1.455,3.671056845830528,6.2962270562556005e-06,1.3,1.4180271093324595,1.1606686847967835e-05,3.724290827105316e-06,5.418843153438235e-06,1.367208333670881e-05,1.7773708337721453e-05,2.5203600256257384e-05
8559,primer-uds-north,7.9365425,33884415613.920204,85.23854166436611,1484492.8346182446,6.1715781056752315,0.2208006237684673,0.0379505971240823,-1.9119542059298353,0.11469473655903495,1.9028850096424198e-05,1.455,3.671056845830528,6.985599041476095e-05,1.3,29.286177769378284,0.002659559439605477,4.132062296920594e-05,6.0121506420194654e-05,0.00015169035582508563,0.00019719746257261135,0.005775159944571816
10404,primer-uds-north,5.6559963,3235936569.296281,83.28728747516016,148488.45590003073,5.171692691136082,0.7236548666028123,0.0386485084401846,-3.1809968730600113,-1.154347930571141,1.8598153918648088e-06,1.455,3.671056845830528,6.827488026286292e-06,1.3,1.8948415566645573,1.681811045178803e-05,4.038537810228101e-06,5.876072513881888e-06,1.48257018753833e-05,1.927341243799829e-05,3.6520062826254727e-05
11219,primer-uds-north,5.4287095,8511380382.023759,69.45012848458238,561699.4779583397,5.749504020244457,0.7133544776215276,0.0691441310542971,-2.5338751711112413,-0.507226228622371,5.8664517379401196e-06,1.455,3.671056845830528,2.1536077813299473e-05,1.3,7.58359547855168,0.00021231717302987754,1.2738838090695675e-05,1.8535009421962208e-05,4.676499878077505e-05,6.0794498415007563e-05,0.0004610408833008686
14419,primer-uds-north,4.8167844,1698243652.461746,101.3688073269726,52606.74776060164,4.721041453797101,0.254808978040208,0.0244327171289943,-2.5456073977070703,-0.5189584552182,8.019443259634327e-07,1.455,3.671056845830528,2.943983207803008e-06,1.3,1.1886988652964559,4.549362348137433e-06,1.7413999777977072e-06,2.5337369676956643e-06,6.392778309823402e-06,8.310611802770424e-06,9.878814819872537e-06
15257,primer-uds-north,6.9201365,11481536214.968842,96.35690251750648,393626.6243385939,5.595084465806766,0.1723695928191372,0.0336291467362668,-1.7743620187555023,0.25228692373336803,5.70381886095749e-06,1.455,3.671056845830528,2.093904327689528e-05,1.3,4.8621915260956285,0.00013235253042111084,1.2385685285447643e-05,1.8021172090326323e-05,4.546855475744501e-05,5.9109121184678516e-05,0.0002873998681391035
16999,primer-uds-north,4.2059326,2290867652.76777,123.57814740257558,47749.27333557878,4.67896676673129,1.4105353313904372,0.0905209581053687,-2.9815870672436358,-0.9549381247547655,8.873743588972527e-07,1.455,3.671056845830528,3.2576017150442354e-06,1.3,1.1631763663879113,4.925914923857436e-06,1.9269089372575627e-06,2.803652503709754e-06,7.073792245411403e-06,9.195929919034822e-06,1.0696488348780804e-05
