id,field,group,z_phot,n_bands,ir_excess,r_eff,z_dist_pred,chi2nu_null,chi2nu_geff,delta_chi2_nu,delta_BIC,verdict
1072,primer-uds-north,Gold,8.905960,7,8.991587,78.837578,0.154992,15.806575,16.402103,-0.595528,-2.977638,Neutral
8559,primer-uds-north,Gold,7.936542,7,5.818107,85.238542,0.120425,95.819753,42.749378,53.070375,265.351874,Weak
48927,primer-uds-north,Gold,7.907303,7,4.368030,88.703234,0.119452,6.299372,15.534363,-9.234992,-46.174958,Null wins
52141,primer-uds-north,Gold,7.130078,7,4.193759,83.400116,0.095056,8.885629,9.230983,-0.345354,-1.726770,Neutral
55902,primer-uds-north,Gold,8.670386,7,5.677060,76.455307,0.146173,29.769068,28.538006,1.231061,6.155307,Weak
69936,primer-uds-north,Gold,7.033967,7,3.605209,78.703148,0.092232,1.665350,1.704885,-0.039535,-0.197677,Neutral
45179,primer-cosmos-east,Gold,7.105493,7,7.004282,59.434502,0.094329,153.993567,158.860635,-4.867068,-24.335338,Null wins
25430,primer-uds-south,Gold,7.128200,7,6.389028,73.300489,0.095000,17.653114,18.218389,-0.565275,-2.826377,Neutral
59568,primer-uds-south,Gold,8.901577,7,8.958487,78.935286,0.154826,15.587441,16.169026,-0.581585,-2.907925,Neutral
67076,primer-uds-south,Gold,7.936798,7,5.804162,85.737614,0.120433,93.737139,42.284066,51.453073,257.265366,Weak
6756,ceers-full,Gold,7.136083,6,8.910267,54.396484,0.095233,29.048012,33.193643,-4.145631,-16.582524,Null wins
20010,ceers-full,Gold,8.934445,6,3.963666,64.420383,0.156077,3.606120,3.734922,-0.128802,-0.515209,Neutral
40589,ceers-full,Gold,8.006711,6,6.703142,59.375921,0.122775,47.626899,35.535388,12.091511,48.366046,Weak
41179,ceers-full,Gold,7.242250,6,3.564215,57.421740,0.098404,22.400943,20.121712,2.279231,9.116926,Weak
47021,ceers-full,Gold,8.023067,6,3.766773,65.365255,0.123327,12.868900,4.136131,8.732769,34.931077,Weak
55490,ceers-full,Gold,7.149331,6,8.617653,52.387914,0.095626,442.165984,478.941160,-36.775176,-147.100704,Null wins
59162,ceers-full,Gold,7.841130,6,4.808225,53.051698,0.117265,157.227887,154.228636,2.999252,11.997008,Weak
61323,ceers-full,Gold,7.127027,6,8.772359,61.552384,0.094965,36.273899,37.939931,-1.666032,-6.664128,Null wins
67137,ceers-full,Gold,7.496461,6,1.568062,62.401303,0.106207,60.811275,60.671680,0.139595,0.558378,Weak
70681,ceers-full,Gold,7.900805,6,6.405560,56.092053,0.119236,35.320693,101.758707,-66.438014,-265.752058,Null wins
71267,ceers-full,Gold,7.517550,6,4.008404,59.906585,0.106868,20.632049,21.420091,-0.788042,-3.152166,Neutral
71321,ceers-full,Gold,7.129320,6,8.686671,63.360401,0.095033,35.682675,37.074978,-1.392304,-5.569215,Null wins
72956,ceers-full,Gold,8.904180,6,4.783834,58.175836,0.154925,14.294973,14.840586,-0.545613,-2.182451,Neutral
21620,primer-cosmos-west,Gold,8.087144,7,6.674581,88.584745,0.125499,19.646538,20.400124,-0.753586,-3.767931,Neutral
22483,primer-cosmos-west,Gold,7.135468,7,5.548075,62.233966,0.095215,68.563599,71.503148,-2.939548,-14.697741,Null wins
22388,gds,Gold,7.181870,6,2.061530,51.617491,0.096595,44029.890088,44125.302151,-95.412063,-381.648251,Null wins
23636,gds,Gold,7.132841,6,7.850633,89.840604,0.095137,324.708484,342.023493,-17.315009,-69.260036,Null wins
1381,primer-uds-north,Silver,5.662597,7,8.825740,120.012836,0.056500,15.264549,15.561972,-0.297423,-1.487114,Neutral
1544,primer-uds-north,Silver,5.463462,7,2.456196,120.550934,0.052019,28.981512,29.251919,-0.270407,-1.352033,Neutral
1939,primer-uds-north,Silver,4.362057,7,10.971565,99.534606,0.030583,140.991109,46.047733,94.943376,474.716881,Weak
3992,primer-uds-north,Silver,5.659328,7,12.277704,79.567230,0.056425,455.964977,468.256445,-12.291467,-61.457337,Null wins
11219,primer-uds-north,Silver,5.428710,7,10.316920,69.450128,0.051256,663.613397,681.590949,-17.977553,-89.887763,Null wins
14419,primer-uds-north,Silver,4.816784,7,10.429007,101.368807,0.038734,44.380110,42.527420,1.852690,9.263450,Weak
15257,primer-uds-north,Silver,6.920136,7,5.125601,96.356903,0.088943,7.116019,7.174546,-0.058527,-0.292636,Neutral
16999,primer-uds-north,Silver,4.205933,7,15.582417,123.578147,0.028019,381.707923,391.421147,-9.713225,-48.566123,Null wins
18804,primer-uds-north,Silver,4.317291,7,7.183803,104.117641,0.029836,992.501150,1022.114986,-29.613835,-148.069177,Null wins
18892,primer-uds-north,Silver,4.729469,7,11.736433,90.501748,0.037091,23.656731,24.384694,-0.727963,-3.639815,Neutral
21108,primer-uds-north,Silver,7.136405,7,11.862818,81.310583,0.095243,118.754112,122.884252,-4.130140,-20.650698,Null wins
22773,primer-uds-north,Silver,4.401274,7,4.572622,101.921252,0.031247,158.594269,39.898234,118.696036,593.480178,Weak
23575,primer-uds-north,Silver,5.660595,7,11.211925,95.529588,0.056454,217.104142,224.686236,-7.582094,-37.910469,Null wins
24081,primer-uds-north,Silver,5.656405,7,9.254365,77.044780,0.056358,314.534864,323.058165,-8.523300,-42.616501,Null wins
24100,primer-uds-north,Silver,4.991886,7,6.680648,86.237583,0.042138,84.451385,88.966219,-4.514835,-22.574174,Null wins
29106,primer-uds-north,Silver,5.204843,7,5.947922,114.101122,0.046472,91.776762,93.694347,-1.917585,-9.587924,Null wins
29110,primer-uds-north,Silver,7.128775,7,13.874191,100.542161,0.095017,33.710645,35.562655,-1.852010,-9.260048,Null wins
31581,primer-uds-north,Silver,4.163408,7,8.757140,84.096465,0.027341,19.349286,19.299309,0.049977,0.249884,Weak
31645,primer-uds-north,Silver,4.755920,7,4.896816,113.687737,0.037585,59.950853,59.139278,0.811575,4.057876,Weak
32025,primer-uds-north,Silver,4.043331,7,6.426416,84.812810,0.025477,137.968953,140.633228,-2.664275,-13.321375,Null wins
32237,primer-uds-north,Silver,4.612168,7,8.040143,75.561042,0.034942,478.564516,463.141760,15.422756,77.113780,Weak
32986,primer-uds-north,Silver,4.152747,7,3.191670,88.709983,0.027173,20.117659,20.221621,-0.103962,-0.519808,Neutral
33774,primer-uds-north,Silver,7.137637,7,4.193475,130.272196,0.095279,27.965899,28.955071,-0.989172,-4.945859,Neutral
